Date,Opening price,The maximum,The minimum,Closing price,Volume
20201101,,,,,
20201102,1832.0,1868.25,1832.0,1868.25,713.0
20201103,1891.0,1906.0,1891.0,1906.0,507.0
20201104,1875.5,1902.0,1875.5,1902.0,431.0
20201105,1887.5,1887.5,1885.1,1885.6,308.0
20201106,1889.0,1893.0,1886.0,1886.0,278.0
20201107,,,,,
20201108,,,,,
20201109,1912.0,1914.0,1875.5,1875.5,716.0
20201110,1882.5,1887.8,1879.5,1887.8,13992.0
20201111,1906.0,1907.5,1898.25,1898.25,176.0
20201112,1905.5,1912.2,1904.5,1912.2,66.0
20201113,1917.5,1919.0,1916.0,1916.0,244.0
20201114,,,,,
20201115,,,,,
20201116,1931.0,1936.0,1931.0,1936.0,39938.0
20201117,1946.5,1961.0,1942.0,1961.0,420.0
20201118,1977.5,1984.75,1977.5,1984.75,560.0
20201119,1985.0,1985.0,1980.35,1980.35,100.0
20201120,1985.5,1985.5,1980.25,1980.25,86.0
20201121,,,,,
20201122,,,,,
20201123,1968.5,1970.5,1956.5,1956.5,291.0
20201124,1962.5,1971.0,1962.0,1971.0,513.0
20201125,1967.0,1967.0,1951.75,1951.75,9559.0
20201126,1961.0,1962.5,1958.75,1958.75,162.0
20201127,1972.5,1987.0,1972.5,1987.0,485.0
20201128,,,,,
20201129,,,,,
20201130,2013.5,2036.0,2013.5,2036.0,759.0
20201201,2041.5,2054.85,2041.5,2054.85,436.0
20201202,2052.0,2052.0,2043.0,2043.0,356.0
20201203,2027.5,2028.0,2016.25,2016.25,223.0
20201204,2029.0,2030.1,2027.0,2030.1,105.0
20201205,,,,,
20201206,,,,,
20201207,2004.0,2004.0,1995.28,1995.28,272.0
20201208,1986.0,1986.0,1970.0,1970.0,297.0
20201209,2008.0,2022.2,2008.0,2022.2,400.0
20201210,2031.0,2047.89,2030.0,2047.89,599.0
20201211,2023.0,2023.0,2007.0,2007.0,546.0
20201212,,,,,
20201213,,,,,
20201214,2038.0,2043.0,2031.6,2031.6,82532.0
20201215,2025.0,2025.0,2012.4,2012.4,1416.0
20201216,2023.0,2023.0,2021.25,2021.25,1128.0
20201217,2027.0,2040.5,2027.0,2040.5,537.0
20201218,2049.0,2050.5,2044.92,2044.92,1044.0
20201219,,,,,
20201220,,,,,
20201221,2010.0,2014.5,2008.0,2008.0,1243.0
20201222,1991.5,1995.5,1980.5,1980.5,887.0
20201223,2000.0,2000.0,1997.0,1998.4,1376.0
20201224,2022.0,2025.75,2021.0,2025.75,1874.0
20201225,2022.0,2025.75,2021.0,2025.75,1874.0
20201226,,,,,
20201227,,,,,
20201228,,,,,
20201229,2000.0,2002.0,1986.5,1986.5,172.0
20201230,1996.5,1998.12,1993.5,1998.12,396.0
20201231,1977.5,1980.0,1973.6,1973.6,1458.0
20210101,,,,,
