Date,Opening price,The maximum,The minimum,Closing price,Volume
20201101,,,,,
20201102,6712.5,6753.0,6712.5,6753.0,418.0
20201103,6795.0,6807.0,6795.0,6807.0,356.0
20201104,6755.5,6828.5,6754.0,6828.5,1214.0
20201105,6798.0,6842.75,6798.0,6842.75,893.0
20201106,6936.0,6941.0,6933.5,6935.0,1058.0
20201107,,,,,
20201108,,,,,
20201109,7034.0,7034.0,6903.25,6903.25,619.0
20201110,6863.0,6913.25,6863.0,6913.25,6490.0
20201111,6912.5,6912.5,6866.0,6866.0,286.0
20201112,6903.0,6915.75,6903.0,6915.75,404.0
20201113,6928.0,6966.3,6928.0,6966.3,664.0
20201114,,,,,
20201115,,,,,
20201116,7111.5,7117.5,7092.75,7092.75,9645.0
20201117,7050.0,7050.0,7047.0,7047.0,1106.0
20201118,7083.0,7083.0,7069.5,7069.5,1794.0
20201119,7028.0,7076.25,7028.0,7076.25,937.0
20201120,7179.0,7262.5,7179.0,7262.5,685.0
20201121,,,,,
20201122,,,,,
20201123,7221.0,7221.0,7162.0,7162.0,271.0
20201124,7302.0,7302.0,7279.25,7279.25,316.0
20201125,7236.0,7283.25,7236.0,7283.25,11075.0
20201126,7340.0,7387.0,7340.0,7387.0,632.0
20201127,7467.5,7487.5,7460.0,7487.5,691.0
20201128,,,,,
20201129,,,,,
20201130,7676.0,7676.5,7569.25,7569.25,451.0
20201201,7645.0,7688.0,7640.0,7688.0,1008.0
20201202,7616.0,7666.5,7616.0,7666.5,344.0
20201203,7679.0,7679.0,7668.5,7668.5,527.0
20201204,7742.5,7750.75,7737.5,7750.75,148.0
20201205,,,,,
20201206,,,,,
20201207,7656.0,7695.0,7654.0,7695.0,214.0
20201208,7635.0,7679.0,7635.0,7679.0,291.0
20201209,7701.0,7706.0,7701.0,7705.5,408.0
20201210,7712.0,7860.75,7712.0,7860.75,348.0
20201211,7739.5,7754.95,7739.0,7754.95,395.0
20201212,,,,,
20201213,,,,,
20201214,7760.0,7760.0,7729.0,7729.0,14631.0
20201215,7752.5,7760.75,7752.5,7760.75,1590.0
20201216,7801.0,7823.0,7801.0,7813.5,895.0
20201217,7893.0,7900.25,7893.0,7900.25,744.0
20201218,7966.0,7968.75,7966.0,7968.75,960.0
20201219,,,,,
20201220,,,,,
20201221,7839.5,7839.5,7826.3,7826.3,301.0
20201222,7753.0,7754.0,7723.55,7723.55,713.0
20201223,7767.5,7827.0,7758.0,7827.0,771.0
20201224,7791.0,7791.0,7770.75,7770.75,572.0
20201225,7791.0,7791.0,7770.75,7770.75,572.0
20201226,,,,,
20201227,,,,,
20201228,,,,,
20201229,7840.0,7845.2,7840.0,7845.2,952.0
20201230,7810.0,7834.0,7800.0,7834.0,355.0
20201231,7740.0,7749.0,7740.0,7749.0,1497.0
20210101,,,,,
