Date,Opening price,The maximum,The minimum,Closing price,Volume
20201101,,,,,
20201102,169600.0,169600.0,169600.0,169600.0,169600.0
20201103,169400.0,169400.0,169400.0,169400.0,169400.0
20201104,176650.0,176650.0,176650.0,176650.0,176650.0
20201105,174050.0,174050.0,174050.0,174050.0,174050.0
20201106,172450.0,172450.0,172450.0,172450.0,172450.0
20201107,,,,,
20201108,,,,,
20201109,171125.0,171125.0,171125.0,171125.0,171125.0
20201110,169575.0,169575.0,169575.0,169575.0,169575.0
20201111,167825.0,167825.0,167825.0,167825.0,167825.0
20201112,166200.0,166200.0,166200.0,166200.0,166200.0
20201113,165200.0,165200.0,165200.0,165200.0,165200.0
20201114,,,,,
20201115,,,,,
20201116,163025.0,163025.0,163025.0,163025.0,163025.0
20201117,161700.0,161700.0,161700.0,161700.0,161700.0
20201118,160200.0,160200.0,160200.0,160200.0,160200.0
20201119,159475.0,159475.0,159475.0,159475.0,159475.0
20201120,157350.0,157350.0,157350.0,157350.0,157350.0
20201121,,,,,
20201122,,,,,
20201123,156075.0,156075.0,156075.0,156075.0,156075.0
20201124,154825.0,154825.0,154825.0,154825.0,154825.0
20201125,153175.0,153175.0,153175.0,153175.0,153175.0
20201126,152025.0,152025.0,152025.0,152025.0,152025.0
20201127,150775.0,150775.0,150775.0,150775.0,150775.0
20201128,,,,,
20201129,,,,,
20201130,149800.0,149800.0,149800.0,149800.0,149800.0
20201201,149925.0,149925.0,149925.0,149925.0,149925.0
20201202,149675.0,149675.0,149675.0,149675.0,149675.0
20201203,149325.0,149325.0,149325.0,149325.0,149325.0
20201204,149675.0,149675.0,149675.0,149675.0,149675.0
20201205,,,,,
20201206,,,,,
20201207,150125.0,150125.0,150125.0,150125.0,150125.0
20201208,149625.0,149625.0,149625.0,149625.0,149625.0
20201209,149575.0,149575.0,149575.0,149575.0,149575.0
20201210,147825.0,147825.0,147825.0,147825.0,147825.0
20201211,146325.0,146325.0,146325.0,146325.0,146325.0
20201212,,,,,
20201213,,,,,
20201214,144775.0,144775.0,144775.0,144775.0,144775.0
20201215,141900.0,141900.0,141900.0,141900.0,141900.0
20201216,133125.0,133125.0,133125.0,133125.0,133125.0
20201217,127725.0,127725.0,127725.0,127725.0,127725.0
20201218,123400.0,123400.0,123400.0,123400.0,123400.0
20201219,,,,,
20201220,,,,,
20201221,122975.0,122975.0,122975.0,122975.0,122975.0
20201222,119600.0,119600.0,119600.0,119600.0,119600.0
20201223,119375.0,119375.0,119375.0,119375.0,119375.0
20201224,116100.0,116100.0,116100.0,116100.0,116100.0
20201225,116100.0,116100.0,116100.0,116100.0,116100.0
20201226,,,,,
20201227,,,,,
20210101,,,,,
