Date,Opening price,The maximum,The minimum,Closing price,Volume
20201101,,,,,
20201102,15113.0,15123.25,15113.0,15123.25,109.0
20201103,15365.0,15365.0,15328.2,15328.2,232.0
20201104,15400.0,15400.0,15308.25,15308.25,441.0
20201105,15450.0,15519.45,15450.0,15519.45,6.0
20201106,15540.0,15545.0,15320.75,15320.75,24.0
20201107,,,,,
20201108,,,,,
20201109,15862.0,15862.0,15709.75,15709.75,375.0
20201110,15700.0,15858.25,15700.0,15858.25,4401.0
20201111,15790.0,15929.5,15780.0,15929.5,285.0
20201112,15874.0,15892.0,15874.0,15892.0,12.0
20201113,15815.0,15848.0,15815.0,15848.0,78.0
20201114,,,,,
20201115,,,,,
20201116,16030.0,16030.0,15846.25,15846.25,5049.0
20201117,15690.0,15888.0,15685.0,15887.0,535.0
20201118,15745.0,15762.5,15745.0,15762.5,259.0
20201119,15690.0,15793.0,15690.0,15793.0,62.0
20201120,15865.0,16115.5,15855.0,16115.5,411.0
20201121,,,,,
20201122,,,,,
20201123,16015.0,16017.0,15893.0,15893.5,236.0
20201124,16040.0,16197.0,15990.0,16197.0,352.0
20201125,15970.0,16010.0,15960.0,16010.0,7913.0
20201126,16055.0,16224.5,16010.5,16224.5,98.0
20201127,16380.0,16410.75,16355.0,16410.75,848.0
20201128,,,,,
20201129,,,,,
20201130,16345.0,16345.0,15985.0,15985.0,248.0
20201201,16095.0,16223.5,16095.0,16223.5,71.0
20201202,15850.0,15947.0,15850.0,15947.0,516.0
20201203,15940.0,15940.0,15905.5,15905.5,176.0
20201204,16030.0,16354.5,16030.0,16354.5,179.0
20201205,,,,,
20201206,,,,,
20201207,16300.0,16319.06,16275.0,16319.06,5.0
20201208,16390.0,16390.0,16342.5,16342.5,504.0
20201209,16475.0,16647.0,16475.0,16647.0,22.0
20201210,16807.0,17373.75,16807.0,17373.75,57.0
20201211,17185.0,17230.75,17180.0,17230.75,233.0
20201212,,,,,
20201213,,,,,
20201214,17645.0,17650.0,17530.0,17539.75,12498.0
20201215,17650.0,17650.0,17524.0,17524.0,178.0
20201216,17355.0,17355.0,17353.5,17353.5,349.0
20201217,17520.0,17520.0,17460.0,17460.0,534.0
20201218,17565.0,17565.0,17428.0,17428.0,139.0
20201219,,,,,
20201220,,,,,
20201221,17342.0,17342.0,17206.5,17206.5,27.0
20201222,16895.0,16930.0,16546.5,16546.5,113.0
20201223,16695.0,16812.5,16690.0,16812.5,265.0
20201224,16951.0,16951.0,16931.5,16931.5,120.0
20201225,16951.0,16951.0,16931.5,16931.5,120.0
20201226,,,,,
20201227,,,,,
20201228,,,,,
20201229,17000.0,17000.0,16865.0,16865.0,88.0
20201230,16785.0,16785.0,16719.5,16719.5,55.0
20201231,16540.0,16553.5,16540.0,16553.5,162.0
20210101,,,,,
