Date,Opening price,The maximum,The minimum,Closing price,Volume
20201101,,,,,
20201102,23.631,24.16,23.396,24.066999999999997,0.0
20201103,24.086,24.386999999999997,23.909000000000002,24.219,0.0
20201104,24.228,24.494,23.24,23.886999999999997,0.0
20201105,23.886999999999997,25.465,23.886999999999997,25.315,0.0
20201106,25.348000000000003,25.84,24.897,25.616999999999997,0.0
20201107,,,,,
20201108,,,,,
20201109,25.616999999999997,26.002,23.579,24.073,0.0
20201110,24.09,24.491,23.905,24.209,0.0
20201111,24.226,24.429000000000002,23.78,24.248,0.0
20201112,24.243000000000002,24.398000000000003,24.04,24.272,0.0
20201113,24.272,24.814,24.151999999999997,24.633000000000003,0.0
20201114,,,,,
20201115,,,,,
20201116,24.659000000000002,25.069000000000003,24.223000000000003,24.73,0.0
20201117,24.761,24.805999999999997,24.364,24.488000000000003,0.0
20201118,24.488000000000003,24.701,24.206999999999997,24.33,0.0
20201119,24.33,24.374000000000002,23.639,24.03,0.0
20201120,24.03,24.523000000000003,23.906,24.153000000000002,0.0
20201121,,,,,
20201122,,,,,
20201123,24.153000000000002,24.39,23.425,23.575,0.0
20201124,23.57,23.636,22.929000000000002,23.234,0.0
20201125,23.230999999999998,23.52,23.101999999999997,23.334,0.0
20201126,23.334,23.475,23.19,23.311,0.0
20201127,23.320999999999998,23.323,22.34,22.679000000000002,0.0
20201128,,,,,
20201129,,,,,
20201130,22.677,22.745,21.893,22.62,0.0
20201201,22.623,24.049,22.588,23.997,0.0
20201202,23.997,24.324,23.546999999999997,24.09,0.0
20201203,24.09,24.278000000000002,23.74,24.051,0.0
20201204,24.051,24.408,23.936999999999998,24.183000000000003,0.0
20201205,,,,,
20201206,,,,,
20201207,24.171999999999997,24.776,23.522,24.451,0.0
20201208,24.47,24.861,24.434,24.545,0.0
20201209,24.545,24.585,23.594,23.936,0.0
20201210,23.936,24.28,23.72,23.986,0.0
20201211,23.954,24.114,23.596,23.93,0.0
20201212,,,,,
20201213,,,,,
20201214,23.916999999999998,24.232,23.674,23.82,0.0
20201215,23.82,24.558000000000003,23.82,24.479,0.0
20201216,24.482,25.491999999999997,24.443,25.28,0.0
20201217,25.32,26.099,25.166999999999998,26.005,0.0
20201218,26.008000000000003,26.125,25.66,25.793000000000003,0.0
20201219,,,,,
20201220,,,,,
20201221,25.791999999999998,27.409000000000002,24.97,26.145,0.0
20201222,26.15,26.583000000000002,25.079,25.168000000000003,0.0
20201223,25.168000000000003,25.787,25.053,25.503,0.0
20201224,25.508000000000003,25.905,25.412,25.8,0.0
20201225,25.8,25.8,25.8,25.8,0.0
20201226,,,,,
20201227,,,,,
20201228,25.8,26.77,25.8,26.2,0.0
20201229,26.236,26.601999999999997,25.962,26.19,0.0
20201230,26.193,26.638,26.138,26.598000000000003,0.0
20201231,26.598000000000003,26.701999999999998,26.221999999999998,26.335,0.0
20210101,26.336,26.355999999999998,26.336,26.336,0.0
