Date,Opening price,The maximum,The minimum,Closing price,Volume
20201101,,,,,
20201102,151.61,151.61,151.61,151.61,0.0
20201103,150.31,150.31,150.31,150.31,0.0
20201104,152.0,152.0,152.0,152.0,0.0
20201105,151.43,151.43,151.43,151.43,0.0
20201106,154.49,154.49,154.49,154.49,0.0
20201107,,,,,
20201108,,,,,
20201109,155.85,155.85,155.85,155.85,0.0
20201110,156.17,156.17,156.17,156.17,0.0
20201111,156.69,156.69,156.69,156.69,0.0
20201112,157.94,157.94,157.94,157.94,0.0
20201113,158.97,158.97,158.97,158.97,0.0
20201114,,,,,
20201115,,,,,
20201116,158.21,158.21,158.21,158.21,0.0
20201117,164.49,164.49,164.49,164.49,0.0
20201118,165.9,165.9,165.9,165.9,0.0
20201119,169.27,169.27,169.27,169.27,0.0
20201120,169.68,169.68,169.68,169.68,0.0
20201121,,,,,
20201122,,,,,
20201123,109.21,109.21,109.21,109.21,0.0
20201124,109.13,109.13,109.13,109.13,0.0
20201125,108.43,108.43,108.43,108.43,0.0
20201126,,,,,
20201127,109.7,109.7,109.7,109.7,0.0
20201128,,,,,
20201129,,,,,
20201130,116.13,116.13,116.13,116.13,0.0
20201201,115.4,115.4,115.4,115.4,0.0
20201202,110.65,110.65,110.65,110.65,0.0
20201203,111.2,111.2,111.2,111.2,0.0
20201204,112.17,112.17,112.17,112.17,0.0
20201205,,,,,
20201206,,,,,
20201207,110.04,110.04,110.04,110.04,0.0
20201208,111.42,111.42,111.42,111.42,0.0
20201209,111.14,111.14,111.14,111.14,0.0
20201210,109.17,109.17,109.17,109.17,0.0
20201211,112.96,112.96,112.96,112.96,0.0
20201212,,,,,
20201213,,,,,
20201214,,,,,
20201215,117.68,117.68,117.68,117.68,0.0
20201216,116.64,116.64,116.64,116.64,0.0
20201217,118.07,118.07,118.07,118.07,0.0
20201218,118.1,118.1,118.1,118.1,0.0
20201219,,,,,
20201220,,,,,
20201221,116.8,116.8,116.8,116.8,0.0
20201222,116.8,116.8,116.8,116.8,0.0
20201223,116.72,116.72,116.72,116.72,0.0
20201224,,,,,
20201225,,,,,
20201226,,,,,
20201227,,,,,
20201228,116.72,116.72,116.72,116.72,0.0
20201229,116.72,116.72,116.72,116.72,0.0
20201230,116.72,116.72,116.72,116.72,0.0
20201231,116.72,116.72,116.72,116.72,0.0
20210101,,,,,
