Date,Opening price,The maximum,The minimum,Closing price,Volume
20201101,,,,,
20201102,2524.0,2528.0,2524.0,2528.0,210.0
20201103,2553.0,2562.0,2553.0,2555.0,344.0
20201104,2549.0,2583.0,2547.0,2583.0,1330.0
20201105,2595.5,2604.75,2592.5,2604.75,198.0
20201106,2614.5,2623.9,2614.5,2623.9,28.0
20201107,,,,,
20201108,,,,,
20201109,2664.0,2666.0,2627.75,2628.0,201.0
20201110,2622.0,2629.25,2620.5,2629.25,4482.0
20201111,2630.0,2630.0,2608.0,2608.0,111.0
20201112,2595.0,2610.25,2591.0,2610.25,12.0
20201113,2613.0,2615.1,2611.0,2615.1,180.0
20201114,,,,,
20201115,,,,,
20201116,2652.5,2665.0,2651.0,2665.0,6177.0
20201117,2661.5,2679.2,2660.0,2679.2,355.0
20201118,2733.0,2742.0,2732.0,2742.0,490.0
20201119,2722.0,2753.55,2719.5,2753.55,127.0
20201120,2787.0,2787.0,2786.75,2786.75,163.0
20201121,,,,,
20201122,,,,,
20201123,2760.5,2760.5,2716.0,2716.0,68.0
20201124,2745.0,2745.0,2742.5,2742.5,98.0
20201125,2726.5,2738.25,2726.5,2738.25,5082.0
20201126,2758.0,2758.0,2743.0,2743.0,185.0
20201127,2760.0,2776.0,2757.0,2776.0,35.0
20201128,,,,,
20201129,,,,,
20201130,2809.5,2809.5,2776.2,2776.2,37.0
20201201,2772.5,2772.5,2752.5,2752.5,425.0
20201202,2729.5,2729.5,2725.0,2725.5,205.0
20201203,2748.0,2748.5,2734.0,2734.0,139.0
20201204,2748.0,2748.0,2731.0,2731.0,101.0
20201205,,,,,
20201206,,,,,
20201207,2723.0,2760.0,2723.0,2760.0,314.0
20201208,2762.5,2773.75,2762.5,2773.75,44.0
20201209,2816.0,2827.0,2816.0,2827.0,10.0
20201210,2812.5,2836.75,2810.0,2836.75,43.0
20201211,2803.5,2807.5,2760.85,2760.85,199.0
20201212,,,,,
20201213,,,,,
20201214,2791.0,2807.75,2791.0,2807.75,5379.0
20201215,2814.0,2814.0,2784.75,2784.75,374.0
20201216,2814.0,2814.0,2803.95,2803.95,395.0
20201217,2843.5,2843.5,2834.75,2834.75,605.0
20201218,2840.0,2851.75,2836.0,2851.75,798.0
20201219,,,,,
20201220,,,,,
20201221,2807.0,2807.5,2807.0,2807.5,319.0
20201222,2786.0,2792.0,2742.25,2742.25,125.0
20201223,2775.0,2793.5,2775.0,2793.5,293.0
20201224,2817.0,2818.0,2817.0,2818.0,478.0
20201225,2817.0,2818.0,2817.0,2818.0,478.0
20201226,,,,,
20201227,,,,,
20201228,,,,,
20201229,2753.5,2753.5,2737.25,2737.25,6.0
20201230,2748.0,2764.75,2748.0,2764.75,94.0
20201231,2722.5,2729.33,2712.0,2729.33,151.0
20210101,,,,,
