Date,Opening price,The maximum,The minimum,Closing price,Volume
20201031,,,,,
20201101,,,,,
20201102,169600,169600,169600,169600,169600
20201103,169400,169400,169400,169400,169400
20201104,176650,176650,176650,176650,176650
20201105,174050,174050,174050,174050,174050
20201106,172450,172450,172450,172450,172450
20201107,,,,,
20201108,,,,,
20201109,171125,171125,171125,171125,171125
20201110,169575,169575,169575,169575,169575
20201111,167825,167825,167825,167825,167825
20201112,166200,166200,166200,166200,166200
20201113,165200,165200,165200,165200,165200
20201114,,,,,
20201115,,,,,
20201116,163025,163025,163025,163025,163025
20201117,161700,161700,161700,161700,161700
20201118,160200,160200,160200,160200,160200
20201119,159475,159475,159475,159475,159475
20201120,157350,157350,157350,157350,157350
20201121,,,,,
20201122,,,,,
20201123,156075,156075,156075,156075,156075
20201124,154825,154825,154825,154825,154825
20201125,153175,153175,153175,153175,153175
20201126,152025,152025,152025,152025,152025
20201127,150775,150775,150775,150775,150775
20201128,,,,,
20201129,,,,,
20201130,149800,149800,149800,149800,149800
20201201,149925,149925,149925,149925,149925
20201202,149675,149675,149675,149675,149675
20201203,149325,149325,149325,149325,149325
20201204,149675,149675,149675,149675,149675
20201205,,,,,
20201206,,,,,
20201207,150125,150125,150125,150125,150125
20201208,149625,149625,149625,149625,149625
20201209,149575,149575,149575,149575,149575
20201210,147825,147825,147825,147825,147825
20201211,146325,146325,146325,146325,146325
20201212,,,,,
20201213,,,,,
20201214,144775,144775,144775,144775,144775
20201215,141900,141900,141900,141900,141900
20201216,133125,133125,133125,133125,133125
20201217,127725,127725,127725,127725,127725
20201218,123400,123400,123400,123400,123400
20201219,,,,,
20201220,,,,,
20201221,122975,122975,122975,122975,122975
20201222,119600,119600,119600,119600,119600
20201223,119375,119375,119375,119375,119375
20201224,116100,116100,116100,116100,116100
20201225,116100,116100,116100,116100,116100
20201226,,,,,
20201227,,,,,
20201228,,,,,
20201229,113975 ,113975 ,113975 ,113975 ,113975 
20201230,110875 ,110875 ,110875 ,110875 ,110875 
20201231,107950 ,107950 ,107950 ,107950 ,107950 
20210101,,,,,
