Date,Opening price,The maximum,The minimum,Closing price,Volume
20201031,,,,,
20201101,,,,,
20201102,1877.9,1896.001,1873.6,1894.185,0.0
20201103,1894.888,1910.58,1887.19,1908.828,0.0
20201104,1908.5,1916.374,1882.21,1902.288,0.0
20201105,1903.2,1952.77,1902.54,1949.238,0.0
20201106,1948.3,1960.33,1935.729,1950.984,0.0
20201107,,,,,
20201108,,,,,
20201109,1963.0,1965.55,1850.62,1862.078,0.0
20201110,1860.6,1890.41,1860.59,1877.14,0.0
20201111,1876.4,1884.45,1856.475,1865.225,0.0
20201112,1864.7,1883.805,1862.88,1876.588,0.0
20201113,1876.1,1896.81,1874.1,1888.825,0.0
20201114,,,,,
20201115,,,,,
20201116,1889.4,1899.05,1864.71,1888.194,0.0
20201117,1887.7,1893.6,1877.01,1879.245,0.0
20201118,1878.5,1884.85,1864.01,1872.16,0.0
20201119,1871.8,1874.07,1852.86,1865.355,0.0
20201120,1865.808,1879.89,1861.01,1870.318,0.0
20201121,,,,,
20201122,,,,,
20201123,1869.1,1876.16,1831.1,1836.855,0.0
20201124,1836.85,1839.05,1800.4,1806.794,0.0
20201125,1807.2,1817.69,1801.864,1807.2,0.0
20201126,1806.6,1818.226,1805.99,1808.12,0.0
20201127,1810.795,1813.775,1774.35,1787.5,0.0
20201128,,,,,
20201129,,,,,
20201130,1786.61,1800.7,1764.73,1776.7,0.0
20201201,1776.0,1817.38,1775.9,1814.788,0.0
20201202,1813.8,1832.57,1807.59,1829.9,0.0
20201203,1829.9,1843.93,1823.83,1840.295,0.0
20201204,1840.7,1848.21,1829.32,1838.208,0.0
20201205,,,,,
20201206,,,,,
20201207,1838.5,1868.535,1822.5,1862.3,0.0
20201208,1860.9,1875.28,1860.4,1869.45,0.0
20201209,1870.1,1870.96,1825.51,1838.89,0.0
20201210,1838.8,1850.02,1828.8,1836.378,0.0
20201211,1835.94,1847.75,1824.138,1838.998,0.0
20201212,,,,,
20201213,,,,,
20201214,1837.5,1855.6,1819.162,1827.33,0.0
20201215,1826.9,1855.41,1825.66,1852.26,0.0
20201216,1852.775,1865.71,1844.97,1863.56,0.0
20201217,1864.2,1896.29,1862.2,1884.72,0.0
20201218,1884.6,1889.87,1877.57,1880.838,0.0
20201219,,,,,
20201220,,,,,
20201221,1881.4,1906.74,1855.344,1876.435,0.0
20201222,1876.5,1884.238,1858.98,1860.2,0.0
20201223,1859.9,1878.5,1857.23,1872.69,0.0
20201224,1871.3,1883.495,1869.69,1878.97,0.0
20201225,1878.97,1878.97,1878.97,1878.97,0.0
20201226,,,,,
20201227,,,,,
20201228,1879.19,1900.185,1869.47,1873.22,0.0
20201229,1873.1,1886.49,1871.88,1878.078,0.0
20201230,1877.9,1894.1,1876.3,1894.1,0.0
20201231,1894.1,1900.99,1885.6,1897.9,0.0
20210101,1897.9,1897.9,1897.9,1897.9,0.0
