Date,Opening price,The maximum,The minimum,Closing price,Volume
20201031,,,,,
20201101,,,,,
20201102,114.05,114.05,114.05,114.05,0.0
20201103,112.95,112.95,112.95,112.95,10.0
20201104,113.0,113.0,113.0,113.0,30.0
20201105,113.41,113.41,113.41,113.41,10.0
20201106,115.0,115.0,115.0,115.0,50.0
20201107,,,,,
20201108,,,,,
20201109,118.07,118.07,118.07,118.07,30.0
20201110,119.17,119.17,119.17,119.17,30.0
20201111,120.77,120.77,120.77,120.77,100.0
20201112,119.85,119.85,119.85,119.85,10.0
20201113,119.24,119.24,119.24,119.24,0.0
20201114,,,,,
20201115,,,,,
20201116,120.29,120.29,120.29,120.29,0.0
20201117,122.25,122.25,122.25,122.25,0.0
20201118,123.02,123.02,123.02,123.02,0.0
20201119,124.3,124.3,124.3,124.3,50.0
20201120,125.62,125.62,125.62,125.62,0.0
20201121,,,,,
20201122,,,,,
20201123,123.54,123.54,123.54,123.54,0.0
20201124,124.83,124.83,124.83,124.83,10.0
20201125,125.2,125.2,125.2,125.2,440.0
20201126,,,,,
20201127,127.63,127.63,127.63,127.63,0.0
20201128,,,,,
20201129,,,,,
20201130,129.31,129.31,129.31,129.31,0.0
20201201,130.81,130.81,130.81,130.81,0.0
20201202,131.21,131.21,131.21,131.21,20.0
20201203,132.52,132.52,132.52,132.52,39.0
20201204,141.34,141.34,141.34,141.34,10.0
20201205,,,,,
20201206,,,,,
20201207,144.0,144.0,144.0,144.0,30.0
20201208,144.03,144.03,144.03,144.03,0.0
20201209,146.4,146.4,146.4,146.4,10.0
20201210,155.72,155.72,155.72,155.72,0.0
20201211,158.02,158.02,158.02,158.02,10.0
20201212,,,,,
20201213,,,,,
20201214,151.07,151.07,151.07,151.07,30.0
20201215,153.35,153.35,153.35,153.35,10.0
20201216,154.82,154.82,154.82,154.82,0.0
20201217,157.65,157.65,157.65,157.65,20.0
20201218,161.18,161.18,161.18,161.18,10.0
20201227,,,,,
20201228,162.94,162.94,162.94,162.94,30.0
20201229,160.78,160.78,160.78,160.78,0.0
20201230,156.05,156.05,156.05,156.05,200.0
20201231,158.15,158.15,158.15,158.15,0.0
20210101,,,,,
