Date,Opening price,The maximum,The minimum,Closing price,Volume
20050101,,,,,
20050102,,,,,
20050103,,,,,
20050104,1834.0,1835.0,1834.0,1834.0,0.0
20050105,1809.5,1810.0,1809.5,1809.5,0.0
20050106,1808.0,1809.0,1808.0,1808.0,0.0
20050107,1828.0,1829.0,1828.0,1828.0,0.0
20050108,,,,,
20050109,,,,,
20050110,1818.5,1819.0,1818.5,1818.5,0.0
20050111,1826.0,1827.0,1826.0,1826.0,0.0
20050112,1835.0,1836.0,1835.0,1835.0,0.0
20050113,1843.5,1844.5,1843.5,1843.5,0.0
20050114,1831.0,1832.0,1831.0,1831.0,0.0
20050115,,,,,
20050116,,,,,
20050117,1828.5,1829.5,1828.5,1828.5,0.0
20050118,1824.0,1824.5,1824.0,1824.0,0.0
20050119,1847.0,1848.0,1847.0,1847.0,0.0
20050120,1836.0,1837.0,1836.0,1836.0,0.0
20050121,1846.5,1847.0,1846.5,1846.5,0.0
20050122,,,,,
20050123,,,,,
20050124,1858.5,1859.0,1858.5,1858.5,0.0
20050125,1810.0,1811.0,1810.0,1810.0,0.0
20050126,1834.0,1835.0,1834.0,1834.0,0.0
20050127,1825.0,1827.0,1825.0,1825.0,0.0
20050128,1862.0,1863.0,1862.0,1862.0,0.0
20050129,,,,,
20050130,,,,,
20050131,1864.0,1866.0,1864.0,1864.0,0.0
20050201,1854.0,1855.0,1854.0,1854.0,0.0
20050202,1862.5,1863.0,1862.5,1862.5,0.0
20050203,1823.5,1824.0,1823.5,1823.5,0.0
20050204,1841.0,1841.5,1841.0,1841.0,0.0
20050205,,,,,
20050206,,,,,
20050207,1837.5,1838.0,1837.5,1837.5,0.0
20050208,1813.0,1814.0,1813.0,1813.0,0.0
20050209,1815.0,1817.0,1815.0,1815.0,0.0
20050210,1844.0,1845.0,1844.0,1844.0,0.0
20050211,1847.0,1849.0,1847.0,1847.0,0.0
20050212,,,,,
20050213,,,,,
20050214,1852.0,1853.0,1852.0,1852.0,0.0
20050215,1864.0,1864.5,1864.0,1864.0,0.0
20050216,1881.0,1882.0,1881.0,1881.0,0.0
20050217,1900.0,1900.5,1900.0,1900.0,0.0
20050218,1923.0,1924.0,1923.0,1923.0,0.0
20050219,,,,,
20050220,,,,,
20050221,1932.0,1932.5,1932.0,1932.0,0.0
20050222,1970.0,1972.0,1970.0,1970.0,0.0
20050223,1967.0,1968.0,1967.0,1967.0,0.0
20050224,1978.0,1978.5,1978.0,1978.0,0.0
20050225,1900.0,1901.0,1900.0,1900.0,0.0
20050226,,,,,
20050227,,,,,
20050228,1934.0,1934.5,1934.0,1934.0,0.0
20050301,1929.0,1930.0,1929.0,1929.0,0.0
20050302,1909.0,1910.0,1909.0,1909.0,0.0
20050303,1926.0,1926.5,1926.0,1926.0,0.0
20050304,1981.0,1982.0,1981.0,1981.0,0.0
20050305,,,,,
20050306,,,,,
20050307,1978.0,1979.0,1978.0,1978.0,0.0
20050308,2001.0,2002.0,2001.0,2001.0,0.0
20050309,2007.0,2008.0,2007.0,2007.0,0.0
20050310,2021.0,2022.0,2021.0,2021.0,0.0
20050311,2029.0,2030.0,2029.0,2029.0,0.0
20050312,,,,,
20050313,,,,,
20050314,2025.0,2027.0,2025.0,2025.0,0.0
20050315,2030.5,2031.5,2030.5,2030.5,0.0
20050316,2025.5,2026.0,2025.5,2025.5,0.0
20050317,1997.0,1998.0,1997.0,1997.0,0.0
20050318,1984.0,1985.0,1984.0,1984.0,0.0
20050319,,,,,
20050320,,,,,
20050321,1991.0,1992.0,1991.0,1991.0,0.0
20050322,1978.5,1979.0,1978.5,1978.5,0.0
20050323,1972.0,1972.5,1972.0,1972.0,0.0
20050324,1958.0,1959.0,1958.0,1958.0,0.0
20050325,,,,,
20050326,,,,,
20050327,,,,,
20050328,,,,,
20050329,1947.0,1948.0,1947.0,1947.0,0.0
20050330,1948.0,1949.0,1948.0,1948.0,0.0
20050331,1972.0,1973.0,1972.0,1972.0,0.0
20050401,1959.0,1960.0,1959.0,1959.0,0.0
20050402,,,,,
20050403,,,,,
20050404,1948.0,1948.5,1948.0,1948.0,0.0
20050405,1930.0,1931.0,1930.0,1930.0,0.0
20050406,1949.0,1949.5,1949.0,1949.0,0.0
20050407,1956.0,1956.5,1956.0,1956.0,0.0
20050408,1948.0,1949.0,1948.0,1948.0,0.0
20050409,,,,,
20050410,,,,,
20050411,1967.0,1968.0,1967.0,1967.0,0.0
20050412,1990.0,1991.0,1990.0,1990.0,0.0
20050413,1914.5,1915.5,1914.5,1914.5,0.0
20050414,1862.0,1863.0,1862.0,1862.0,0.0
20050415,1878.0,1879.0,1878.0,1878.0,0.0
20050416,,,,,
20050417,,,,,
20050418,1869.0,1869.5,1869.0,1869.0,0.0
20050419,1880.0,1881.0,1880.0,1880.0,0.0
20050420,1898.0,1899.0,1898.0,1898.0,0.0
20050421,1865.5,1866.5,1865.5,1865.5,0.0
20050422,1868.5,1869.0,1868.5,1868.5,0.0
20050423,,,,,
20050424,,,,,
20050425,1824.5,1825.0,1824.5,1824.5,0.0
20050426,1835.0,1835.5,1835.0,1835.0,0.0
20050427,1807.5,1808.0,1807.5,1807.5,0.0
20050428,1808.5,1809.0,1808.5,1808.5,0.0
