Date,Opening price,The maximum,The minimum,Closing price,Volume
20050101,,,,,
20050102,,,,,
20050103,,,,,
20050104,3133.0,3133.5,3133.0,3133.0,0.0
20050105,3070.0,3072.0,3070.0,3070.0,0.0
20050106,3090.0,3095.0,3090.0,3090.0,0.0
20050107,3128.0,3128.5,3128.0,3128.0,0.0
20050108,,,,,
20050109,,,,,
20050110,3128.0,3129.0,3128.0,3128.0,0.0
20050111,3155.0,3157.0,3155.0,3155.0,0.0
20050112,3146.0,3146.5,3146.0,3146.0,0.0
20050113,3160.0,3165.0,3160.0,3160.0,0.0
20050114,3115.0,3116.0,3115.0,3115.0,0.0
20050115,,,,,
20050116,,,,,
20050117,3183.0,3184.0,3183.0,3183.0,0.0
20050118,3111.0,3112.0,3111.0,3111.0,0.0
20050119,3160.0,3161.0,3160.0,3160.0,0.0
20050120,3151.0,3152.0,3151.0,3151.0,0.0
20050121,3208.0,3209.0,3208.0,3208.0,0.0
20050122,,,,,
20050123,,,,,
20050124,3225.5,3226.0,3225.5,3225.5,0.0
20050125,3198.0,3200.0,3198.0,3198.0,0.0
20050126,3240.0,3245.0,3240.0,3240.0,0.0
20050127,3227.0,3228.0,3227.0,3227.0,0.0
20050128,3264.0,3265.0,3264.0,3264.0,0.0
20050129,,,,,
20050130,,,,,
20050131,3274.5,3275.5,3274.5,3274.5,0.0
20050201,3240.0,3243.0,3240.0,3240.0,0.0
20050202,3225.0,3226.0,3225.0,3225.0,0.0
20050203,3169.0,3170.0,3169.0,3169.0,0.0
20050204,3173.0,3174.0,3173.0,3173.0,0.0
20050205,,,,,
20050206,,,,,
20050207,3160.0,3163.0,3160.0,3160.0,0.0
20050208,3146.0,3147.0,3146.0,3146.0,0.0
20050209,3143.0,3145.0,3143.0,3143.0,0.0
20050210,3168.0,3168.5,3168.0,3168.0,0.0
20050211,3200.0,3210.0,3200.0,3200.0,0.0
20050212,,,,,
20050213,,,,,
20050214,3223.5,3224.0,3223.5,3223.5,0.0
20050215,3250.0,3252.0,3250.0,3250.0,0.0
20050216,3259.5,3260.0,3259.5,3259.5,0.0
20050217,3241.0,3241.5,3241.0,3241.0,0.0
20050218,3338.0,3339.0,3338.0,3338.0,0.0
20050219,,,,,
20050220,,,,,
20050221,3320.5,3321.0,3320.5,3320.5,0.0
20050222,3366.0,3367.0,3366.0,3366.0,0.0
20050223,3322.0,3323.0,3322.0,3322.0,0.0
20050224,3342.0,3343.0,3342.0,3342.0,0.0
20050225,3351.0,3352.0,3351.0,3351.0,0.0
20050226,,,,,
20050227,,,,,
20050228,3400.0,3405.0,3400.0,3400.0,0.0
20050301,3355.0,3356.0,3355.0,3355.0,0.0
20050302,3285.0,3287.0,3285.0,3285.0,0.0
20050303,3328.5,3329.0,3328.5,3328.5,0.0
20050304,3361.5,3362.0,3361.5,3361.5,0.0
20050305,,,,,
20050306,,,,,
20050307,3366.0,3366.5,3366.0,3366.0,0.0
20050308,3407.5,3408.0,3407.5,3407.5,0.0
20050309,3379.0,3380.0,3379.0,3379.0,0.0
20050310,3374.0,3374.5,3374.0,3374.0,0.0
20050311,3360.0,3365.0,3360.0,3360.0,0.0
20050312,,,,,
20050313,,,,,
20050314,3364.0,3365.0,3364.0,3364.0,0.0
20050315,3353.0,3355.0,3353.0,3353.0,0.0
20050316,3412.5,3413.0,3412.5,3412.5,0.0
20050317,3424.0,3424.5,3424.0,3424.0,0.0
20050318,3385.0,3388.0,3385.0,3385.0,0.0
20050319,,,,,
20050320,,,,,
20050321,3411.0,3413.0,3411.0,3411.0,0.0
20050322,3410.0,3411.0,3410.0,3410.0,0.0
20050323,3406.0,3407.0,3406.0,3406.0,0.0
20050324,3384.5,3385.0,3384.5,3384.5,0.0
20050325,,,,,
20050326,,,,,
20050327,,,,,
20050328,,,,,
20050329,3379.5,3380.0,3379.5,3379.5,0.0
20050330,3393.0,3394.0,3393.0,3393.0,0.0
20050331,3407.0,3408.0,3407.0,3407.0,0.0
20050401,3408.0,3409.0,3408.0,3408.0,0.0
20050402,,,,,
20050403,,,,,
20050404,3384.0,3385.0,3384.0,3384.0,0.0
20050405,3357.0,3358.0,3357.0,3357.0,0.0
20050406,3394.0,3395.0,3394.0,3394.0,0.0
20050407,3430.0,3435.0,3430.0,3430.0,0.0
20050408,3434.0,3435.0,3434.0,3434.0,0.0
20050409,,,,,
20050410,,,,,
20050411,3473.0,3473.5,3473.0,3473.0,0.0
20050412,3496.5,3497.0,3496.5,3496.5,0.0
20050413,3405.0,3406.0,3405.0,3405.0,0.0
20050414,3304.0,3305.0,3304.0,3304.0,0.0
20050415,3329.0,3330.0,3329.0,3329.0,0.0
20050416,,,,,
20050417,,,,,
20050418,3353.0,3355.0,3353.0,3353.0,0.0
20050419,3391.5,3395.0,3391.5,3391.5,0.0
20050420,3465.0,3466.0,3465.0,3465.0,0.0
20050421,3384.5,3385.0,3384.5,3384.5,0.0
20050422,3410.0,3415.0,3410.0,3410.0,0.0
20050423,,,,,
20050424,,,,,
20050425,3365.0,3365.5,3365.0,3365.0,0.0
20050426,3412.0,3413.0,3412.0,3412.0,0.0
20050427,3375.0,3375.5,3375.0,3375.0,0.0
20050428,3336.0,3337.0,3336.0,3336.0,0.0
