Date,Opening price,The maximum,The minimum,Closing price,Volume
20050101,,,,,
20050102,,,,,
20050103,,,,,
20050104,48875.0,48875.0,48875.0,48875.0,0.0
20050105,48550.0,48550.0,48550.0,48550.0,0.0
20050106,48500.0,48500.0,48500.0,48500.0,0.0
20050107,48375.0,48375.0,48375.0,48375.0,0.0
20050108,,,,,
20050109,,,,,
20050110,48250.0,48250.0,48250.0,48250.0,0.0
20050111,47975.0,47975.0,47975.0,47975.0,0.0
20050112,47375.0,47375.0,47375.0,47375.0,0.0
20050113,46175.0,46175.0,46175.0,46175.0,0.0
20050114,44650.0,44650.0,44650.0,44650.0,0.0
20050115,,,,,
20050116,,,,,
20050117,44375.0,44375.0,44375.0,44375.0,0.0
20050118,43525.0,43525.0,43525.0,43525.0,0.0
20050119,43525.0,43525.0,43525.0,43525.0,0.0
20050120,43625.0,43625.0,43625.0,43625.0,0.0
20050121,43475.0,43475.0,43475.0,43475.0,0.0
20050122,,,,,
20050123,,,,,
20050124,43525.0,43525.0,43525.0,43525.0,0.0
20050125,44125.0,44125.0,44125.0,44125.0,0.0
20050126,43750.0,43750.0,43750.0,43750.0,0.0
20050127,44700.0,44700.0,44700.0,44700.0,0.0
20050128,45550.0,45550.0,45550.0,45550.0,0.0
20050129,,,,,
20050130,,,,,
20050131,45675.0,45675.0,45675.0,45675.0,0.0
20050201,46350.0,46350.0,46350.0,46350.0,0.0
20050202,48025.0,48025.0,48025.0,48025.0,0.0
20050203,49575.0,49575.0,49575.0,49575.0,0.0
20050204,51000.0,51000.0,51000.0,51000.0,0.0
20050205,,,,,
20050206,,,,,
20050207,50825.0,50825.0,50825.0,50825.0,0.0
20050208,54025.0,54025.0,54025.0,54025.0,0.0
20050209,54375.0,54375.0,54375.0,54375.0,0.0
20050210,54675.0,54675.0,54675.0,54675.0,0.0
20050211,54225.0,54225.0,54225.0,54225.0,0.0
20050212,,,,,
20050213,,,,,
20050214,55450.0,55450.0,55450.0,55450.0,0.0
20050215,55725.0,55725.0,55725.0,55725.0,0.0
20050216,56100.0,56100.0,56100.0,56100.0,0.0
20050217,55950.0,55950.0,55950.0,55950.0,0.0
20050218,55800.0,55800.0,55800.0,55800.0,0.0
20050219,,,,,
20050220,,,,,
20050221,55325.0,55325.0,55325.0,55325.0,0.0
20050222,55125.0,55125.0,55125.0,55125.0,0.0
20050223,53125.0,53125.0,53125.0,53125.0,0.0
20050224,53125.0,53125.0,53125.0,53125.0,0.0
20050225,53375.0,53375.0,53375.0,53375.0,0.0
20050226,,,,,
20050227,,,,,
20050228,53975.0,53975.0,53975.0,53975.0,0.0
20050301,52550.0,52550.0,52550.0,52550.0,0.0
20050302,50775.0,50775.0,50775.0,50775.0,0.0
20050303,50575.0,50575.0,50575.0,50575.0,0.0
20050304,50100.0,50100.0,50100.0,50100.0,0.0
20050305,,,,,
20050306,,,,,
20050307,51150.0,51150.0,51150.0,51150.0,0.0
20050308,51275.0,51275.0,51275.0,51275.0,0.0
20050309,51900.0,51900.0,51900.0,51900.0,0.0
20050310,51725.0,51725.0,51725.0,51725.0,0.0
20050311,50575.0,50575.0,50575.0,50575.0,0.0
20050312,,,,,
20050313,,,,,
20050314,49875.0,49875.0,49875.0,49875.0,0.0
20050315,49575.0,49575.0,49575.0,49575.0,0.0
20050316,49450.0,49450.0,49450.0,49450.0,0.0
20050317,49100.0,49100.0,49100.0,49100.0,0.0
20050318,48750.0,48750.0,48750.0,48750.0,0.0
20050319,,,,,
20050320,,,,,
20050321,48275.0,48275.0,48275.0,48275.0,0.0
20050322,47325.0,47325.0,47325.0,47325.0,0.0
20050323,46700.0,46700.0,46700.0,46700.0,0.0
20050324,45125.0,45125.0,45125.0,45125.0,0.0
20050325,45125.0,45125.0,45125.0,45125.0,0.0
20050326,,,,,
20050327,,,,,
20050328,45125.0,45125.0,45125.0,45125.0,0.0
20050329,44600.0,44600.0,44600.0,44600.0,0.0
20050330,44700.0,44700.0,44700.0,44700.0,0.0
20050331,44775.0,44775.0,44775.0,44775.0,0.0
20050401,45275.0,45275.0,45275.0,45275.0,0.0
20050402,,,,,
20050403,,,,,
20050404,45250.0,45250.0,45250.0,45250.0,0.0
20050405,45550.0,45550.0,45550.0,45550.0,0.0
20050406,46175.0,46175.0,46175.0,46175.0,0.0
20050407,46625.0,46625.0,46625.0,46625.0,0.0
20050408,46675.0,46675.0,46675.0,46675.0,0.0
20050409,,,,,
20050410,,,,,
20050411,47125.0,47125.0,47125.0,47125.0,0.0
20050412,48900.0,48900.0,48900.0,48900.0,0.0
20050413,49850.0,49850.0,49850.0,49850.0,0.0
20050414,51325.0,51325.0,51325.0,51325.0,0.0
20050415,52125.0,52125.0,52125.0,52125.0,0.0
20050416,,,,,
20050417,,,,,
20050418,52350.0,52350.0,52350.0,52350.0,0.0
20050419,51825.0,51825.0,51825.0,51825.0,0.0
20050420,52850.0,52850.0,52850.0,52850.0,0.0
20050421,54725.0,54725.0,54725.0,54725.0,0.0
20050422,60675.0,60675.0,60675.0,60675.0,0.0
20050423,,,,,
20050424,,,,,
20050425,59900.0,59900.0,59900.0,59900.0,0.0
20050426,60075.0,60075.0,60075.0,60075.0,0.0
