Date,Opening price,The maximum,The minimum,Closing price,Volume
20050101,,,,,
20050102,,,,,
20050103,436.9,438.7,427.3,429.8,0.0
20050104,429.6,429.8,424.3,426.85,0.0
20050105,427.1,428.2,425.7,426.0,0.0
20050106,426.1,427.6,420.8,421.4,0.0
20050107,421.5,425.0,417.0,418.4,0.0
20050108,,,,,
20050109,,,,,
20050110,419.1,421.5,418.7,419.1,0.0
20050111,419.3,422.65,419.3,422.0,0.0
20050112,422.1,427.6,420.9,425.9,0.0
20050113,426.1,426.8,423.5,425.3,0.0
20050114,424.63,425.5,420.9,422.7,0.0
20050115,,,,,
20050116,,,,,
20050117,421.4,423.1,421.4,422.2,0.0
20050118,422.0,423.8,421.5,422.75,0.0
20050119,422.9,426.9,422.05,422.05,0.0
20050120,422.4,423.5,420.4,422.05,0.0
20050121,422.2,428.2,421.4,427.0,0.0
20050122,,,,,
20050123,,,,,
20050124,426.4,427.9,426.3,427.3,0.0
20050125,427.4,427.75,421.4,421.8,0.0
20050126,422.0,427.5,421.9,426.4,0.0
20050127,426.5,428.0,424.5,425.6,0.0
20050128,425.8,428.33,424.5,426.2,0.0
20050129,,,,,
20050130,,,,,
20050131,426.0,426.1,420.1,422.0,0.0
20050201,422.1,422.2,419.95,420.75,0.0
20050202,420.8,422.53,420.58,421.6,0.0
20050203,421.5,421.7,414.88,416.85,0.0
20050204,416.7,417.5,414.4,414.4,0.0
20050205,,,,,
20050206,,,,,
20050207,414.0,416.05,412.98,413.3,0.0
20050208,413.2,414.1,411.2,412.45,0.0
20050209,412.5,413.53,410.9,412.8,0.0
20050210,413.1,418.48,412.3,417.6,0.0
20050211,417.5,421.7,416.8,420.5,0.0
20050212,,,,,
20050213,,,,,
20050214,420.3,426.1,420.3,425.4,0.0
20050215,425.5,427.0,423.7,425.5,0.0
20050216,425.4,425.8,422.5,425.2,0.0
20050217,424.6,428.3,424.5,427.3,0.0
20050218,427.2,427.9,425.8,427.08,0.0
20050219,,,,,
20050220,,,,,
20050221,,,,,
20050222,426.8,434.8,426.6,434.3,0.0
20050223,435.5,435.6,432.1,434.3,0.0
20050224,434.2,436.53,424.5,433.7,0.0
20050225,433.6,436.38,431.5,434.5,0.0
20050226,,,,,
20050227,,,,,
20050228,434.5,437.9,433.2,435.4,0.0
20050301,435.3,435.95,431.2,432.4,0.0
20050302,432.0,439.8,429.2,432.7,0.0
20050303,432.8,433.25,429.38,429.93,0.0
20050304,429.8,437.1,429.48,433.8,0.0
20050305,,,,,
20050306,,,,,
20050307,433.9,435.35,432.7,434.2,0.0
20050308,434.4,440.7,434.2,440.1,0.0
20050309,440.2,442.3,438.7,440.7,0.0
20050310,440.4,442.5,440.4,442.03,0.0
20050311,441.8,446.9,440.7,445.7,0.0
20050312,,,,,
20050313,,,,,
20050314,445.0,445.8,440.4,440.83,0.0
20050315,440.75,443.9,439.98,440.53,0.0
20050316,440.5,443.7,440.1,443.3,0.0
20050317,443.0,443.83,437.7,438.08,0.0
20050318,438.5,439.6,436.2,439.0,0.0
20050319,,,,,
20050320,,,,,
20050321,438.75,439.4,429.4,431.0,0.0
20050322,431.1,432.3,426.8,426.9,0.0
20050323,426.8,431.35,424.4,424.4,0.0
20050324,424.4,426.3,424.4,424.6,0.0
20050325,424.7,425.9,424.7,425.9,0.0
20050326,,,,,
20050327,,,,,
20050328,425.4,426.2,423.9,425.6,0.0
20050329,425.7,427.7,425.7,425.8,0.0
20050330,426.0,427.9,425.9,425.9,0.0
20050331,425.8,428.78,425.8,428.0,0.0
20050401,428.0,428.85,425.2,425.7,0.0
20050402,,,,,
20050403,,,,,
20050404,425.5,426.5,422.9,423.9,0.0
20050405,424.0,425.38,423.1,424.7,0.0
20050406,424.6,427.2,424.25,426.45,0.0
20050407,426.3,428.1,425.4,425.4,0.0
20050408,425.6,427.15,424.95,426.7,0.0
20050409,,,,,
20050410,,,,,
20050411,426.5,429.4,426.5,427.5,0.0
20050412,427.7,430.0,426.8,428.2,0.0
20050413,428.3,429.33,427.1,428.8,0.0
20050414,428.7,429.0,422.35,423.78,0.0
20050415,423.4,425.7,422.73,424.4,0.0
20050416,,,,,
20050417,,,,,
20050418,424.3,427.7,423.3,427.0,0.0
20050419,427.0,433.5,426.7,433.03,0.0
20050420,433.2,435.5,431.9,434.6,0.0
20050421,434.5,434.95,424.6,431.8,0.0
20050422,431.7,435.65,431.7,434.35,0.0
20050423,,,,,
20050424,,,,,
20050425,433.7,434.55,432.8,434.4,0.0
20050426,434.5,437.3,434.5,436.8,0.0
20050427,436.75,436.9,432.4,432.53,0.0
20050428,432.3,433.7,430.8,430.8,0.0
20050429,431.0,436.5,431.0,434.53,0.0
20050430,,,,,
20050501,,,,,
20050502,434.0,434.0,428.93,429.4,0.0
20050503,429.3,429.8,426.63,427.8,0.0
20050504,427.7,429.65,427.6,429.1,0.0
20050505,429.0,431.53,428.08,429.68,0.0
20050506,430.1,430.98,423.98,425.5,0.0
20050507,,,,,
20050508,,,,,
20050509,425.9,426.35,424.6,425.6,0.0
20050510,425.8,427.85,425.8,426.5,0.0
20050511,426.4,428.4,425.73,427.1,0.0
20050512,426.8,427.3,420.78,422.0,0.0
