Date,Opening price,The maximum,The minimum,Closing price,Volume
20050101,,,,,
20050102,,,,,
20050103,,,,,
20050104,14100.0,14105.0,14100.0,14100.0,0.0
20050105,14205.0,14210.0,14205.0,14205.0,0.0
20050106,14030.0,14035.0,14030.0,14030.0,0.0
20050107,14825.0,14830.0,14825.0,14825.0,0.0
20050108,,,,,
20050109,,,,,
20050110,14825.0,14830.0,14825.0,14825.0,0.0
20050111,14860.0,14865.0,14860.0,14860.0,0.0
20050112,14990.0,15000.0,14990.0,14990.0,0.0
20050113,14745.0,14750.0,14745.0,14745.0,0.0
20050114,14650.0,14655.0,14650.0,14650.0,0.0
20050115,,,,,
20050116,,,,,
20050117,14680.0,14690.0,14680.0,14680.0,0.0
20050118,14590.0,14595.0,14590.0,14590.0,0.0
20050119,14750.0,14775.0,14750.0,14750.0,0.0
20050120,14310.0,14315.0,14310.0,14310.0,0.0
20050121,14105.0,14110.0,14105.0,14105.0,0.0
20050122,,,,,
20050123,,,,,
20050124,14295.0,14305.0,14295.0,14295.0,0.0
20050125,14150.0,14160.0,14150.0,14150.0,0.0
20050126,14350.0,14360.0,14350.0,14350.0,0.0
20050127,14385.0,14390.0,14385.0,14385.0,0.0
20050128,14625.0,14630.0,14625.0,14625.0,0.0
20050129,,,,,
20050130,,,,,
20050131,14480.0,14490.0,14480.0,14480.0,0.0
20050201,14510.0,14515.0,14510.0,14510.0,0.0
20050202,14650.0,14660.0,14650.0,14650.0,0.0
20050203,14640.0,14645.0,14640.0,14640.0,0.0
20050204,14700.0,14705.0,14700.0,14700.0,0.0
20050205,,,,,
20050206,,,,,
20050207,14715.0,14720.0,14715.0,14715.0,0.0
20050208,14600.0,14605.0,14600.0,14600.0,0.0
20050209,15055.0,15060.0,15055.0,15055.0,0.0
20050210,15325.0,15330.0,15325.0,15325.0,0.0
20050211,15270.0,15275.0,15270.0,15270.0,0.0
20050212,,,,,
20050213,,,,,
20050214,15300.0,15305.0,15300.0,15300.0,0.0
20050215,15280.0,15290.0,15280.0,15280.0,0.0
20050216,15525.0,15530.0,15525.0,15525.0,0.0
20050217,15350.0,15400.0,15350.0,15350.0,0.0
20050218,15600.0,15605.0,15600.0,15600.0,0.0
20050219,,,,,
20050220,,,,,
20050221,15825.0,15830.0,15825.0,15825.0,0.0
20050222,15860.0,15875.0,15860.0,15860.0,0.0
20050223,15950.0,15975.0,15950.0,15950.0,0.0
20050224,16140.0,16150.0,16140.0,16140.0,0.0
20050225,16130.0,16140.0,16130.0,16130.0,0.0
20050226,,,,,
20050227,,,,,
20050228,16370.0,16375.0,16370.0,16370.0,0.0
20050301,16250.0,16255.0,16250.0,16250.0,0.0
20050302,15500.0,15525.0,15500.0,15500.0,0.0
20050303,16000.0,16050.0,16000.0,16000.0,0.0
20050304,16350.0,16355.0,16350.0,16350.0,0.0
20050305,,,,,
20050306,,,,,
20050307,16180.0,16190.0,16180.0,16180.0,0.0
20050308,16560.0,16565.0,16560.0,16560.0,0.0
20050309,16315.0,16320.0,16315.0,16315.0,0.0
20050310,16025.0,16050.0,16025.0,16025.0,0.0
20050311,16205.0,16210.0,16205.0,16205.0,0.0
20050312,,,,,
20050313,,,,,
20050314,16050.0,16075.0,16050.0,16050.0,0.0
20050315,16050.0,16055.0,16050.0,16050.0,0.0
20050316,16290.0,16300.0,16290.0,16290.0,0.0
20050317,16205.0,16210.0,16205.0,16205.0,0.0
20050318,16230.0,16235.0,16230.0,16230.0,0.0
20050319,,,,,
20050320,,,,,
20050321,16380.0,16390.0,16380.0,16380.0,0.0
20050322,16505.0,16510.0,16505.0,16505.0,0.0
20050323,16465.0,16470.0,16465.0,16465.0,0.0
20050324,16250.0,16260.0,16250.0,16250.0,0.0
20050325,,,,,
20050326,,,,,
20050327,,,,,
20050328,,,,,
20050329,15975.0,15980.0,15975.0,15975.0,0.0
20050330,15730.0,15735.0,15730.0,15730.0,0.0
20050331,16245.0,16250.0,16245.0,16245.0,0.0
20050401,16130.0,16140.0,16130.0,16130.0,0.0
20050402,,,,,
20050403,,,,,
20050404,15950.0,15955.0,15950.0,15950.0,0.0
20050405,16020.0,16025.0,16020.0,16020.0,0.0
20050406,16170.0,16175.0,16170.0,16170.0,0.0
20050407,16450.0,16455.0,16450.0,16450.0,0.0
20050408,16420.0,16425.0,16420.0,16420.0,0.0
20050409,,,,,
20050410,,,,,
20050411,16395.0,16400.0,16395.0,16395.0,0.0
20050412,16480.0,16490.0,16480.0,16480.0,0.0
20050413,15450.0,15455.0,15450.0,15450.0,0.0
20050414,15470.0,15475.0,15470.0,15470.0,0.0
20050415,15795.0,15800.0,15795.0,15795.0,0.0
20050416,,,,,
20050417,,,,,
20050418,15630.0,15635.0,15630.0,15630.0,0.0
20050419,16000.0,16100.0,16000.0,16000.0,0.0
20050420,16350.0,16360.0,16350.0,16350.0,0.0
20050421,16000.0,16005.0,16000.0,16000.0,0.0
20050422,16245.0,16250.0,16245.0,16245.0,0.0
20050423,,,,,
20050424,,,,,
20050425,16245.0,16250.0,16245.0,16245.0,0.0
20050426,16280.0,16285.0,16280.0,16280.0,0.0
20050427,16480.0,16490.0,16480.0,16480.0,0.0
20050428,16140.0,16150.0,16140.0,16140.0,0.0
