Date,Opening price,The maximum,The minimum,Closing price,Volume
20050101,,,,,
20050102,,,,,
20050103,1.128,1.135,1.0979999999999999,1.1320000000000001,19771.0
20050104,1.133,1.18,1.115,1.172,21715.0
20050105,1.172,1.179,1.145,1.171,30723.0
20050106,1.17,1.2329999999999999,1.153,1.2229999999999999,24873.0
20050107,1.215,1.2309999999999999,1.199,1.214,31517.0
20050108,,,,,
20050109,,,,,
20050110,1.215,1.26,1.205,1.208,25806.0
20050111,1.205,1.2209999999999999,1.192,1.21,26553.0
20050112,1.213,1.2209999999999999,1.175,1.219,26694.0
20050113,1.218,1.27,1.218,1.255,25423.0
20050114,1.255,1.281,1.247,1.276,25822.0
20050115,,,,,
20050116,,,,,
20050117,,,,,
20050118,1.278,1.3030000000000002,1.25,1.262,25822.0
20050119,1.268,1.2770000000000001,1.253,1.263,24193.0
20050120,1.263,1.265,1.235,1.258,24259.0
20050121,1.2590000000000001,1.3090000000000002,1.2590000000000001,1.3,21331.0
20050122,,,,,
20050123,,,,,
20050124,1.3090000000000002,1.314,1.2830000000000001,1.2990000000000002,20515.0
20050125,1.297,1.348,1.294,1.345,15516.0
20050126,1.338,1.365,1.33,1.359,23419.0
20050127,1.374,1.3840000000000001,1.355,1.364,24829.0
20050128,1.3630000000000002,1.3630000000000002,1.315,1.3219999999999998,23682.0
20050129,,,,,
20050130,,,,,
20050131,1.306,1.35,1.281,1.348,27992.0
20050201,1.3430000000000002,1.345,1.3119999999999998,1.315,28085.0
20050202,1.315,1.325,1.287,1.294,23976.0
20050203,1.2930000000000001,1.294,1.25,1.268,25679.0
20050204,1.268,1.281,1.25,1.261,24253.0
20050205,,,,,
20050206,,,,,
20050207,1.252,1.254,1.207,1.212,23203.0
20050208,1.214,1.237,1.205,1.216,28448.0
20050209,1.217,1.24,1.206,1.237,29855.0
20050210,1.247,1.2990000000000002,1.238,1.295,33830.0
20050211,1.286,1.301,1.276,1.284,30319.0
20050212,,,,,
20050213,,,,,
20050214,1.284,1.2990000000000002,1.262,1.278,27249.0
20050215,1.2819999999999998,1.29,1.251,1.256,24032.0
20050216,1.258,1.288,1.229,1.2830000000000001,22791.0
20050217,1.2819999999999998,1.287,1.2329999999999999,1.237,26145.0
20050218,1.238,1.27,1.232,1.263,22330.0
20050219,,,,,
20050220,,,,,
20050221,,,,,
20050222,1.27,1.328,1.2670000000000001,1.3090000000000002,22330.0
20050223,1.3090000000000002,1.32,1.288,1.311,23771.0
20050224,1.432,1.4480000000000002,1.403,1.423,22509.0
20050225,1.425,1.4269999999999998,1.395,1.416,30748.0
20050226,,,,,
20050227,,,,,
20050228,1.4169999999999998,1.433,1.399,1.4180000000000001,28555.0
20050301,1.4180000000000001,1.419,1.365,1.403,23057.0
20050302,1.403,1.485,1.403,1.484,29047.0
20050303,1.484,1.545,1.475,1.508,37486.0
20050304,1.505,1.5190000000000001,1.49,1.5090000000000001,45144.0
20050305,,,,,
20050306,,,,,
20050307,1.5019999999999998,1.514,1.4780000000000002,1.505,25077.0
20050308,1.508,1.55,1.49,1.535,23223.0
20050309,1.534,1.56,1.518,1.5330000000000001,29960.0
20050310,1.521,1.526,1.47,1.483,27566.0
20050311,1.4869999999999999,1.521,1.459,1.518,28850.0
20050312,,,,,
20050313,,,,,
20050314,1.518,1.5230000000000001,1.4880000000000002,1.507,28948.0
20050315,1.505,1.516,1.482,1.507,17301.0
20050316,1.507,1.55,1.492,1.548,20401.0
20050317,1.55,1.585,1.535,1.5619999999999998,24075.0
20050318,1.555,1.579,1.5490000000000002,1.5759999999999998,21937.0
20050319,,,,,
20050320,,,,,
20050321,1.5759999999999998,1.6,1.57,1.5959999999999999,19771.0
20050322,1.5930000000000002,1.6030000000000002,1.565,1.575,20183.0
20050323,1.568,1.585,1.535,1.575,18603.0
20050324,1.599,1.608,1.5490000000000002,1.599,20608.0
20050325,,,,,
20050326,,,,,
20050327,,,,,
20050328,1.5959999999999999,1.5959999999999999,1.555,1.5730000000000002,26351.0
20050329,1.595,1.604,1.577,1.5930000000000002,16422.0
20050330,1.594,1.62,1.56,1.617,19612.0
20050331,1.618,1.68,1.611,1.663,30707.0
20050401,1.6569999999999998,1.736,1.655,1.7309999999999999,33072.0
20050402,,,,,
20050403,,,,,
20050404,1.7309999999999999,1.749,1.706,1.722,30907.0
20050405,1.7169999999999999,1.726,1.686,1.6880000000000002,26666.0
20050406,1.6880000000000002,1.694,1.65,1.659,28882.0
20050407,1.659,1.669,1.55,1.568,32354.0
20050408,1.5719999999999998,1.578,1.51,1.537,46458.0
20050409,,,,,
20050410,,,,,
20050411,1.541,1.5530000000000002,1.505,1.55,38311.0
20050412,1.5530000000000002,1.57,1.5330000000000001,1.534,30355.0
20050413,1.526,1.534,1.47,1.484,33984.0
20050414,1.4880000000000002,1.5130000000000001,1.47,1.504,35246.0
20050415,1.501,1.507,1.462,1.484,37351.0
20050416,,,,,
20050417,,,,,
20050418,1.474,1.51,1.463,1.494,27244.0
20050419,1.499,1.5719999999999998,1.499,1.57,20744.0
20050420,1.571,1.595,1.5530000000000002,1.581,29835.0
20050421,1.57,1.624,1.568,1.62,26865.0
20050422,1.62,1.6580000000000001,1.619,1.652,26312.0
