Date,Opening price,The maximum,The minimum,Closing price,Volume
20050101,,,,,
20050102,,,,,
20050103,6.78,6.79,6.47,6.48,0.0
20050104,6.48,6.49,6.33,6.39,0.0
20050105,6.4,6.55,6.39,6.49,0.0
20050106,6.5,6.53,6.39,6.41,0.0
20050107,6.42,6.55,6.37,6.41,0.0
20050108,,,,,
20050109,,,,,
20050110,6.41,6.47,6.4,6.44,0.0
20050111,6.43,6.63,6.43,6.59,0.0
20050112,6.6,6.71,6.58,6.69,0.0
20050113,6.71,6.74,6.66,6.74,0.0
20050114,6.73,6.73,6.57,6.58,0.0
20050115,,,,,
20050116,,,,,
20050117,6.57,6.61,6.57,6.6,0.0
20050118,6.57,6.64,6.55,6.62,0.0
20050119,6.63,6.71,6.59,6.59,0.0
20050120,6.58,6.62,6.46,6.53,0.0
20050121,6.54,6.86,6.54,6.78,0.0
20050122,,,,,
20050123,,,,,
20050124,6.77,6.86,6.77,6.83,0.0
20050125,6.83,6.85,6.67,6.68,0.0
20050126,6.67,6.81,6.67,6.76,0.0
20050127,6.75,6.8,6.72,6.78,0.0
20050128,6.77,6.85,6.75,6.76,0.0
20050129,,,,,
20050130,,,,,
20050131,6.75,6.8,6.62,6.72,0.0
20050201,6.71,6.75,6.68,6.7,0.0
20050202,6.69,6.79,6.69,6.75,0.0
20050203,6.74,6.76,6.59,6.65,0.0
20050204,6.65,6.68,6.6,6.61,0.0
20050205,,,,,
20050206,,,,,
20050207,6.6,6.67,6.51,6.51,0.0
20050208,6.5,6.58,6.48,6.52,0.0
20050209,6.51,6.58,6.49,6.58,0.0
20050210,6.57,6.95,6.57,6.93,0.0
20050211,6.92,7.22,6.92,7.16,0.0
20050212,,,,,
20050213,,,,,
20050214,7.17,7.31,7.17,7.27,0.0
20050215,7.26,7.38,7.21,7.32,0.0
20050216,7.31,7.32,7.12,7.2,0.0
20050217,7.21,7.4,7.18,7.33,0.0
20050218,7.34,7.43,7.33,7.4,0.0
20050219,,,,,
20050220,,,,,
20050221,7.36,7.4,7.36,7.38,0.0
20050222,7.37,7.54,7.37,7.49,0.0
20050223,7.53,7.53,7.28,7.41,0.0
20050224,7.4,7.5,7.29,7.33,0.0
20050225,7.33,7.34,7.15,7.29,0.0
20050226,,,,,
20050227,,,,,
20050228,7.27,7.43,7.27,7.3,0.0
20050301,7.29,7.33,7.17,7.2,0.0
20050302,7.2,7.32,7.09,7.28,0.0
20050303,7.29,7.34,7.2,7.21,0.0
20050304,7.2,7.48,7.16,7.33,0.0
20050305,,,,,
20050306,,,,,
20050307,7.32,7.38,7.3,7.34,0.0
20050308,7.35,7.54,7.35,7.48,0.0
20050309,7.49,7.62,7.43,7.55,0.0
20050310,7.56,7.61,7.47,7.47,0.0
20050311,7.48,7.56,7.4,7.51,0.0
20050312,,,,,
20050313,,,,,
20050314,7.52,7.53,7.35,7.37,0.0
20050315,7.38,7.47,7.28,7.36,0.0
20050316,7.37,7.43,7.37,7.4,0.0
20050317,7.4,7.45,7.33,7.35,0.0
20050318,7.36,7.37,7.28,7.35,0.0
20050319,,,,,
20050320,,,,,
20050321,7.35,7.44,7.06,7.08,0.0
20050322,7.07,7.12,6.91,6.91,0.0
20050323,6.92,7.03,6.89,6.92,0.0
20050324,6.91,6.98,6.9,6.9,0.0
20050325,6.95,6.95,6.92,6.92,0.0
20050326,,,,,
20050327,,,,,
20050328,6.91,6.93,6.83,6.87,0.0
20050329,6.88,6.98,6.88,6.96,0.0
20050330,6.95,7.13,6.95,7.1,0.0
20050331,7.11,7.19,7.0,7.11,0.0
20050401,7.12,7.16,6.95,6.96,0.0
20050402,,,,,
20050403,,,,,
20050404,6.96,7.02,6.92,7.01,0.0
20050405,7.0,7.06,6.95,7.03,0.0
20050406,7.02,7.12,7.02,7.07,0.0
20050407,7.07,7.14,7.03,7.03,0.0
20050408,7.03,7.14,7.02,7.13,0.0
20050409,,,,,
20050410,,,,,
20050411,7.13,7.27,7.13,7.22,0.0
20050412,7.21,7.27,7.1,7.15,0.0
20050413,7.16,7.24,7.07,7.18,0.0
20050414,7.19,7.19,7.01,7.03,0.0
20050415,7.02,7.08,6.98,6.99,0.0
20050416,,,,,
20050417,,,,,
20050418,6.98,7.06,6.95,7.01,0.0
20050419,7.0,7.24,7.0,7.23,0.0
20050420,7.22,7.33,7.2,7.29,0.0
20050421,7.3,7.32,7.19,7.19,0.0
20050422,7.19,7.3,7.19,7.26,0.0
20050423,,,,,
20050424,,,,,
20050425,7.26,7.27,7.21,7.24,0.0
20050426,7.24,7.3,7.22,7.23,0.0
20050427,7.22,7.24,7.09,7.09,0.0
20050428,7.08,7.14,6.89,6.93,0.0
20050429,6.94,7.01,6.88,6.89,0.0
20050430,,,,,
20050501,,,,,
20050502,6.9,6.94,6.79,6.82,0.0
20050503,6.81,6.89,6.8,6.87,0.0
20050504,6.88,7.0,6.88,6.98,0.0
20050505,6.99,7.08,6.94,7.03,0.0
20050506,7.02,7.1,6.9,6.91,0.0
20050507,,,,,
20050508,,,,,
20050509,6.92,7.09,6.92,7.03,0.0
20050510,7.06,7.14,7.03,7.08,0.0
20050511,7.09,7.1,7.0,7.04,0.0
20050512,7.03,7.05,6.91,6.91,0.0
