Date,Opening price,The maximum,The minimum,Closing price,Volume
20050101,,,,,
20050102,,,,,
20050103,,,,,
20050104,1213.0,1213.5,1213.0,1213.0,0.0
20050105,1197.0,1197.5,1197.0,1197.0,0.0
20050106,1198.0,1200.0,1198.0,1198.0,0.0
20050107,1228.0,1230.0,1228.0,1228.0,0.0
20050108,,,,,
20050109,,,,,
20050110,1234.5,1235.5,1234.5,1234.5,0.0
20050111,1219.0,1220.0,1219.0,1219.0,0.0
20050112,1210.0,1212.0,1210.0,1210.0,0.0
20050113,1224.5,1225.0,1224.5,1224.5,0.0
20050114,1224.0,1225.0,1224.0,1224.0,0.0
20050115,,,,,
20050116,,,,,
20050117,1233.5,1234.0,1233.5,1233.5,0.0
20050118,1235.0,1235.5,1235.0,1235.0,0.0
20050119,1262.5,1263.0,1262.5,1262.5,0.0
20050120,1265.5,1266.0,1265.5,1265.5,0.0
20050121,1277.0,1278.0,1277.0,1277.0,0.0
20050122,,,,,
20050123,,,,,
20050124,1287.0,1289.0,1287.0,1287.0,0.0
20050125,1270.0,1271.0,1270.0,1270.0,0.0
20050126,1266.0,1266.5,1266.0,1266.0,0.0
20050127,1270.5,1271.0,1270.5,1270.5,0.0
20050128,1290.0,1292.0,1290.0,1290.0,0.0
20050129,,,,,
20050130,,,,,
20050131,1300.0,1303.0,1300.0,1300.0,0.0
20050201,1273.0,1273.5,1273.0,1273.0,0.0
20050202,1301.0,1302.0,1301.0,1301.0,0.0
20050203,1288.5,1289.0,1288.5,1288.5,0.0
20050204,1297.0,1298.0,1297.0,1297.0,0.0
20050205,,,,,
20050206,,,,,
20050207,1285.0,1286.0,1285.0,1285.0,0.0
20050208,1276.0,1277.0,1276.0,1276.0,0.0
20050209,1288.0,1288.5,1288.0,1288.0,0.0
20050210,1308.5,1309.0,1308.5,1308.5,0.0
20050211,1313.5,1314.0,1313.5,1313.5,0.0
20050212,,,,,
20050213,,,,,
20050214,1319.5,1320.5,1319.5,1319.5,0.0
20050215,1300.0,1301.0,1300.0,1300.0,0.0
20050216,1320.5,1321.0,1320.5,1320.5,0.0
20050217,1345.5,1346.0,1345.5,1345.5,0.0
20050218,1350.5,1351.0,1350.5,1350.5,0.0
20050219,,,,,
20050220,,,,,
20050221,1354.0,1354.5,1354.0,1354.0,0.0
20050222,1382.5,1383.0,1382.5,1382.5,0.0
20050223,1372.0,1373.0,1372.0,1372.0,0.0
20050224,1394.0,1395.0,1394.0,1394.0,0.0
20050225,1355.5,1356.5,1355.5,1355.5,0.0
20050226,,,,,
20050227,,,,,
20050228,1384.5,1385.0,1384.5,1384.5,0.0
20050301,1381.5,1382.0,1381.5,1381.5,0.0
20050302,1360.0,1361.0,1360.0,1360.0,0.0
20050303,1371.0,1371.5,1371.0,1371.0,0.0
20050304,1385.0,1385.5,1385.0,1385.0,0.0
20050305,,,,,
20050306,,,,,
20050307,1383.0,1383.5,1383.0,1383.0,0.0
20050308,1413.0,1414.0,1413.0,1413.0,0.0
20050309,1404.5,1405.0,1404.5,1404.5,0.0
20050310,1415.5,1416.0,1415.5,1415.5,0.0
20050311,1418.0,1418.5,1418.0,1418.0,0.0
20050312,,,,,
20050313,,,,,
20050314,1415.0,1416.0,1415.0,1415.0,0.0
20050315,1421.5,1422.0,1421.5,1421.5,0.0
20050316,1429.5,1430.0,1429.5,1429.5,0.0
20050317,1400.0,1401.0,1400.0,1400.0,0.0
20050318,1357.0,1358.0,1357.0,1357.0,0.0
20050319,,,,,
20050320,,,,,
20050321,1373.5,1374.0,1373.5,1373.5,0.0
20050322,1353.0,1354.0,1353.0,1353.0,0.0
20050323,1346.0,1346.5,1346.0,1346.0,0.0
20050324,1317.5,1318.0,1317.5,1317.5,0.0
20050325,,,,,
20050326,,,,,
20050327,,,,,
20050328,,,,,
20050329,1312.5,1313.0,1312.5,1312.5,0.0
20050330,1311.0,1313.0,1311.0,1311.0,0.0
20050331,1348.5,1349.0,1348.5,1348.5,0.0
20050401,1332.0,1332.5,1332.0,1332.0,0.0
20050402,,,,,
20050403,,,,,
20050404,1329.5,1330.0,1329.5,1329.5,0.0
20050405,1311.5,1312.0,1311.5,1311.5,0.0
20050406,1348.0,1348.5,1348.0,1348.0,0.0
20050407,1349.0,1349.5,1349.0,1349.0,0.0
20050408,1350.5,1351.0,1350.5,1350.5,0.0
20050409,,,,,
20050410,,,,,
20050411,1361.5,1362.0,1361.5,1361.5,0.0
20050412,1364.5,1365.5,1364.5,1364.5,0.0
20050413,1302.0,1302.5,1302.0,1302.0,0.0
20050414,1227.0,1228.0,1227.0,1227.0,0.0
20050415,1250.0,1251.0,1250.0,1250.0,0.0
20050416,,,,,
20050417,,,,,
20050418,1241.0,1242.0,1241.0,1241.0,0.0
20050419,1274.5,1275.0,1274.5,1274.5,0.0
20050420,1298.5,1299.5,1298.5,1298.5,0.0
20050421,1274.0,1275.0,1274.0,1274.0,0.0
20050422,1286.5,1287.0,1286.5,1286.5,0.0
20050423,,,,,
20050424,,,,,
20050425,1274.0,1274.5,1274.0,1274.0,0.0
20050426,1286.5,1287.0,1286.5,1286.5,0.0
20050427,1276.0,1277.0,1276.0,1276.0,0.0
20050428,1270.0,1270.5,1270.0,1270.0,0.0
