"Date","Open","High","Low","Close","Change","Change%"
"2021/01/01","1.2212","1.2212","1.2212","1.2212","-0.0002","-0.02"
"2020/12/31","1.2293","1.2309","1.2207","1.2214","-0.0082","-0.67"
"2020/12/30","1.2248","1.2309","1.2246","1.2296","0.0049","0.40"
"2020/12/29","1.2213","1.2274","1.2206","1.2247","0.0035","0.29"
"2020/12/28","1.2191","1.2250","1.2179","1.2212","0.0008","0.07"
"2020/12/25","1.2183","1.2204","1.2161","1.2204","0.0017","0.14"
"2020/12/24","1.2187","1.2215","1.2175","1.2187","0.0000","0.00"
"2020/12/23","1.2162","1.2220","1.2152","1.2187","0.0026","0.21"
"2020/12/22","1.2234","1.2256","1.2150","1.2161","-0.0081","-0.66"
"2020/12/21","1.2228","1.2252","1.2128","1.2242","-0.0013","-0.11"
"2020/12/18","1.2266","1.2272","1.2224","1.2255","-0.0011","-0.09"
"2020/12/17","1.2197","1.2273","1.2189","1.2266","0.0068","0.56"
"2020/12/16","1.2151","1.2211","1.2123","1.2198","0.0048","0.40"
"2020/12/15","1.2142","1.2169","1.2120","1.2150","0.0007","0.06"
"2020/12/14","1.2134","1.2176","1.2114","1.2143","0.0032","0.26"
"2020/12/11","1.2138","1.2162","1.2103","1.2111","-0.0026","-0.21"
"2020/12/10","1.2081","1.2158","1.2073","1.2137","0.0057","0.47"
"2020/12/09","1.2101","1.2147","1.2057","1.2080","-0.0021","-0.17"
"2020/12/08","1.2106","1.2133","1.2094","1.2101","-0.0006","-0.05"
"2020/12/07","1.2125","1.2166","1.2077","1.2107","-0.0013","-0.11"
"2020/12/04","1.2141","1.2177","1.2109","1.2120","-0.0023","-0.19"
"2020/12/03","1.2115","1.2175","1.2099","1.2143","0.0028","0.23"
"2020/12/02","1.2069","1.2118","1.2038","1.2115","0.0045","0.37"
"2020/12/01","1.1930","1.2076","1.1925","1.2070","0.0142","1.19"
"2020/11/30","1.1963","1.2003","1.1922","1.1928","-0.0034","-0.28"
"2020/11/27","1.1912","1.1964","1.1905","1.1962","0.0050","0.42"
"2020/11/26","1.1914","1.1940","1.1883","1.1912","-0.0002","-0.02"
"2020/11/25","1.1893","1.1929","1.1880","1.1914","0.0024","0.20"
"2020/11/24","1.1839","1.1895","1.1835","1.1890","0.0050","0.42"
"2020/11/23","1.1853","1.1905","1.1799","1.1840","-0.0013","-0.11"
"2020/11/20","1.1874","1.1890","1.1848","1.1853","-0.0017","-0.14"
"2020/11/19","1.1853","1.1882","1.1815","1.1870","0.0017","0.14"
"2020/11/18","1.1863","1.1891","1.1847","1.1853","-0.0008","-0.07"
"2020/11/17","1.1850","1.1893","1.1841","1.1861","0.0010","0.08"
"2020/11/16","1.1835","1.1868","1.1812","1.1851","0.0019","0.16"
"2020/11/13","1.1806","1.1836","1.1797","1.1832","0.0030","0.25"
"2020/11/12","1.1775","1.1822","1.1757","1.1802","0.0027","0.23"
"2020/11/11","1.1814","1.1833","1.1744","1.1775","-0.0039","-0.33"
"2020/11/10","1.1817","1.1843","1.1778","1.1814","0.0003","0.03"
"2020/11/09","1.1888","1.1919","1.1793","1.1811","-0.0061","-0.51"
"2020/11/06","1.1828","1.1890","1.1793","1.1872","0.0051","0.43"
"2020/11/05","1.1724","1.1859","1.1709","1.1821","0.0098","0.84"
"2020/11/04","1.1714","1.1768","1.1602","1.1723","0.0012","0.10"
"2020/11/03","1.1637","1.1739","1.1635","1.1711","0.0071","0.61"
"2020/11/02","1.1648","1.1655","1.1621","1.1640","-0.0007","-0.06"
"2020/10/30","1.1672","1.1704","1.1638","1.1647","-0.0027","-0.23"
"2020/10/29","1.1749","1.1758","1.1648","1.1674","-0.0070","-0.60"
"2020/10/28","1.1780","1.1787","1.1716","1.1744","-0.0042","-0.36"
"2020/10/27","1.1809","1.1838","1.1781","1.1786","-0.0022","-0.19"
"2020/10/26","1.1850","1.1853","1.1801","1.1808","-0.0051","-0.43"
"2020/10/23","1.1821","1.1864","1.1785","1.1859","0.0039","0.33"
"2020/10/22","1.1862","1.1866","1.1810","1.1820","-0.0040","-0.34"
"2020/10/21","1.1825","1.1880","1.1824","1.1860","0.0037","0.31"
"2020/10/20","1.1769","1.1840","1.1758","1.1823","0.0058","0.49"
"2020/10/19","1.1717","1.1793","1.1701","1.1765","0.0047","0.40"
"2020/10/16","1.1709","1.1745","1.1692","1.1718","0.0009","0.08"
"2020/10/15","1.1748","1.1758","1.1686","1.1709","-0.0038","-0.32"
"2020/10/14","1.1743","1.1770","1.1718","1.1747","0.0004","0.03"
"2020/10/13","1.1810","1.1815","1.1729","1.1743","-0.0070","-0.59"
"2020/10/12","1.1815","1.1826","1.1785","1.1813","-0.0011","-0.09"
"2020/10/09","1.1761","1.1831","1.1756","1.1824","0.0064","0.54"
"2020/10/08","1.1768","1.1781","1.1731","1.1760","-0.0006","-0.05"
"2020/10/07","1.1729","1.1782","1.1723","1.1766","0.0034","0.29"
"2020/10/06","1.1785","1.1807","1.1729","1.1732","-0.0049","-0.42"
"2020/10/05","1.1716","1.1797","1.1707","1.1781","0.0068","0.58"
"2020/10/02","1.1746","1.1748","1.1694","1.1713","-0.0031","-0.26"
"2020/10/01","1.1727","1.1769","1.1715","1.1744","0.0021","0.18"
"2020/09/30","1.1740","1.1755","1.1683","1.1723","-0.0014","-0.12"
"2020/09/29","1.1660","1.1745","1.1660","1.1737","0.0075","0.64"
"2020/09/28","1.1633","1.1678","1.1613","1.1662","0.0032","0.28"
"2020/09/25","1.1671","1.1684","1.1611","1.1630","-0.0038","-0.33"
"2020/09/24","1.1662","1.1687","1.1625","1.1668","0.0007","0.06"
"2020/09/23","1.1707","1.1718","1.1649","1.1661","-0.0046","-0.39"
"2020/09/22","1.1769","1.1771","1.1690","1.1707","-0.0061","-0.52"
"2020/09/21","1.1842","1.1871","1.1730","1.1768","-0.0069","-0.58"
"2020/09/18","1.1848","1.1870","1.1825","1.1837","-0.0003","-0.03"
"2020/09/17","1.1814","1.1853","1.1735","1.1840","0.0026","0.22"
"2020/09/16","1.1848","1.1882","1.1785","1.1814","-0.0033","-0.28"
"2020/09/15","1.1866","1.1899","1.1838","1.1847","-0.0016","-0.13"
"2020/09/14","1.1839","1.1887","1.1830","1.1863","0.0018","0.15"
"2020/09/11","1.1822","1.1874","1.1818","1.1845","0.0025","0.21"
"2020/09/10","1.1804","1.1916","1.1799","1.1820","0.0019","0.16"
"2020/09/09","1.1763","1.1833","1.1751","1.1801","0.0028","0.24"
"2020/09/08","1.1817","1.1827","1.1764","1.1773","-0.0040","-0.34"
"2020/09/07","1.1837","1.1848","1.1810","1.1813","-0.0025","-0.21"
"2020/09/04","1.1849","1.1864","1.1779","1.1838","-0.0011","-0.09"
"2020/09/03","1.1853","1.1864","1.1787","1.1849","-0.0002","-0.02"
"2020/09/02","1.1915","1.1929","1.1820","1.1851","-0.0064","-0.54"
"2020/09/01","1.1939","1.2011","1.1899","1.1915","-0.0023","-0.19"
"2020/08/31","1.1909","1.1965","1.1882","1.1938","0.0035","0.29"
"2020/08/28","1.1822","1.1919","1.1809","1.1903","0.0087","0.74"
"2020/08/27","1.1831","1.1900","1.1761","1.1816","-0.0010","-0.08"
"2020/08/26","1.1834","1.1840","1.1770","1.1826","-0.0007","-0.06"
"2020/08/25","1.1791","1.1844","1.1782","1.1833","0.0045","0.38"
"2020/08/24","1.1799","1.1849","1.1782","1.1788","-0.0007","-0.06"
"2020/08/22","1.1861","1.1882","1.1753","1.1795","0.0000","0.00"
"2020/08/21","1.1861","1.1882","1.1753","1.1795","-0.0062","-0.52"
"2020/08/20","1.1841","1.1868","1.1800","1.1857","0.0017","0.14"
"2020/08/19","1.1930","1.1952","1.1828","1.1840","-0.0092","-0.77"
"2020/08/18","1.1871","1.1965","1.1867","1.1932","0.0065","0.55"
"2020/08/17","1.1844","1.1880","1.1827","1.1867","0.0026","0.22"
"2020/08/14","1.1815","1.1850","1.1781","1.1841","0.0027","0.23"
"2020/08/13","1.1786","1.1864","1.1782","1.1814","0.0032","0.27"
"2020/08/12","1.1744","1.1814","1.1709","1.1782","0.0042","0.36"
"2020/08/11","1.1735","1.1807","1.1721","1.1740","-0.0001","-0.01"
"2020/08/10","1.1785","1.1801","1.1734","1.1741","-0.0045","-0.38"
"2020/08/07","1.1878","1.1883","1.1754","1.1786","-0.0090","-0.76"
"2020/08/06","1.1870","1.1915","1.1816","1.1876","0.0011","0.09"
"2020/08/05","1.1795","1.1905","1.1791","1.1865","0.0069","0.58"
"2020/08/04","1.1763","1.1806","1.1719","1.1796","0.0041","0.35"
"2020/08/03","1.1780","1.1796","1.1694","1.1755","-0.0019","-0.16"
"2020/07/31","1.1840","1.1908","1.1758","1.1774","-0.0065","-0.55"
"2020/07/30","1.1791","1.1848","1.1729","1.1839","0.0048","0.41"
"2020/07/29","1.1722","1.1805","1.1712","1.1791","0.0071","0.61"
"2020/07/28","1.1750","1.1773","1.1697","1.1720","-0.0030","-0.26"
"2020/07/27","1.1644","1.1781","1.1641","1.1750","0.0096","0.82"
"2020/07/24","1.1597","1.1658","1.1579","1.1654","0.0061","0.53"
"2020/07/23","1.1571","1.1626","1.1538","1.1593","0.0021","0.18"
"2020/07/22","1.1530","1.1600","1.1505","1.1572","0.0040","0.35"
"2020/07/21","1.1447","1.1539","1.1421","1.1532","0.0091","0.80"
"2020/07/20","1.1424","1.1467","1.1400","1.1441","0.0015","0.13"
"2020/07/17","1.1380","1.1443","1.1376","1.1426","0.0049","0.43"
"2020/07/16","1.1413","1.1442","1.1369","1.1377","-0.0035","-0.31"
"2020/07/15","1.1406","1.1451","1.1389","1.1412","0.0010","0.09"
"2020/07/14","1.1347","1.1408","1.1323","1.1402","0.0057","0.50"
"2020/07/13","1.1307","1.1374","1.1299","1.1345","0.0050","0.44"
"2020/07/10","1.1285","1.1324","1.1253","1.1295","0.0013","0.12"
"2020/07/09","1.1331","1.1370","1.1278","1.1282","-0.0048","-0.42"
"2020/07/08","1.1272","1.1351","1.1260","1.1330","0.0054","0.48"
"2020/07/07","1.1309","1.1332","1.1267","1.1276","-0.0034","-0.30"
