"Date","Open","High","Low","Close","Change","Change%"
"2021/01/01","709.75","709.75","709.75","709.75","0.0000","0.00"
"2020/12/31","710.00","710.20","709.75","709.75","-0.2500","-0.04"
"2020/12/30","715.08","715.08","706.90","710.00","-5.0800","-0.71"
"2020/12/29","711.63","715.10","707.88","715.08","3.4500","0.48"
"2020/12/28","714.38","714.50","707.38","711.63","-2.7500","-0.38"
"2020/12/25","714.38","714.38","714.38","714.38","0.0000","0.00"
"2020/12/24","713.70","714.65","705.18","714.38","0.6800","0.10"
"2020/12/23","722.45","722.45","712.14","713.70","-8.7500","-1.21"
"2020/12/22","725.05","732.37","721.10","722.45","-2.6000","-0.36"
"2020/12/21","725.13","736.49","724.25","725.05","-0.0800","-0.01"
"2020/12/18","721.53","727.20","718.00","725.13","3.6000","0.50"
"2020/12/17","733.80","733.80","719.77","721.53","-12.2700","-1.67"
"2020/12/16","735.75","737.24","731.60","733.80","-1.9500","-0.27"
"2020/12/15","735.10","737.12","728.69","735.75","0.6500","0.09"
"2020/12/14","734.03","735.76","728.90","735.10","1.0700","0.15"
"2020/12/11","734.50","737.34","729.94","734.03","-0.4700","-0.06"
"2020/12/10","742.95","742.95","733.10","734.50","-8.4500","-1.14"
"2020/12/09","744.30","744.30","736.97","742.95","-1.3500","-0.18"
"2020/12/08","744.60","744.91","741.17","744.30","-0.3000","-0.04"
"2020/12/07","743.53","748.20","739.98","744.60","1.0700","0.14"
"2020/12/04","750.36","750.36","743.28","743.53","-6.8300","-0.91"
"2020/12/03","755.70","755.75","749.08","750.36","-5.3400","-0.71"
"2020/12/02","759.68","759.68","752.00","755.70","-3.9800","-0.52"
"2020/12/01","763.19","763.19","756.92","759.68","-1.0200","-0.13"
"2020/11/30","768.15","769.90","759.90","760.70","-7.4500","-0.97"
"2020/11/27","765.10","768.66","761.03","768.15","3.0500","0.40"
"2020/11/26","764.60","768.01","762.80","765.10","0.5000","0.07"
"2020/11/25","773.60","774.84","764.00","764.60","-9.0000","-1.16"
"2020/11/24","773.74","776.80","767.58","773.60","-0.1400","-0.02"
"2020/11/23","763.93","773.74","758.42","773.74","9.8100","1.28"
"2020/11/20","758.93","766.08","752.70","763.93","5.0000","0.66"
"2020/11/19","758.08","761.23","755.92","758.93","0.8500","0.11"
"2020/11/18","762.98","763.00","755.92","758.08","-4.9000","-0.64"
"2020/11/17","766.10","769.96","762.73","762.98","-3.1200","-0.41"
"2020/11/16","766.80","770.70","762.40","766.10","-0.7000","-0.09"
