"Date","Open","High","Low","Close","Change","Change%"
"2020/12/31","6.5202","6.5548","6.5146","6.5250","0.0042","0.06"
"2020/12/30","6.5305","6.5364","6.5195","6.5208","-0.0092","-0.14"
"2020/12/29","6.5350","6.5370","6.5251","6.5300","-0.0046","-0.07"
"2020/12/28","6.5320","6.5429","6.5279","6.5346","-0.0062","-0.09"
"2020/12/25","6.5290","6.5435","6.5196","6.5408","0.0108","0.17"
"2020/12/24","6.5351","6.5375","6.5251","6.5300","-0.0100","-0.15"
"2020/12/23","6.5473","6.5549","6.5314","6.5400","-0.0021","-0.03"
"2020/12/22","6.5410","6.5536","6.5377","6.5421","-0.0046","-0.07"
"2020/12/21","6.5451","6.5546","6.5444","6.5467","0.0119","0.18"
"2020/12/18","6.5301","6.5449","6.5301","6.5348","0.0027","0.04"
"2020/12/17","6.5291","6.5408","6.5242","6.5321","0.0012","0.02"
"2020/12/16","6.5355","6.5457","6.5226","6.5309","-0.0079","-0.12"
"2020/12/15","6.5430","6.5561","6.5369","6.5388","-0.0092","-0.14"
"2020/12/14","6.5312","6.5495","6.5311","6.5480","0.0035","0.05"
"2020/12/11","6.5350","6.5482","6.5344","6.5445","0.0030","0.05"
"2020/12/10","6.5440","6.5523","6.5381","6.5415","0.0005","0.01"
"2020/12/09","6.5283","6.5449","6.5179","6.5410","0.0103","0.16"
"2020/12/08","6.5325","6.5391","6.5188","6.5307","0.0012","0.02"
"2020/12/07","6.5261","6.5426","6.5260","6.5295","-0.0006","-0.01"
"2020/12/04","6.5390","6.5521","6.5251","6.5301","-0.0117","-0.18"
"2020/12/03","6.5529","6.5642","6.5407","6.5418","-0.0204","-0.31"
"2020/12/02","6.5630","6.5681","6.5508","6.5622","-0.0083","-0.13"
"2020/12/01","6.5800","6.5866","6.5597","6.5705","-0.0055","-0.08"
"2020/11/30","6.5700","6.5941","6.5697","6.5760","0.0022","0.03"
"2020/11/27","6.5719","6.5842","6.5705","6.5738","-0.0003","-0.00"
"2020/11/26","6.5648","6.5768","6.5613","6.5741","-0.0009","-0.01"
"2020/11/25","6.5730","6.5858","6.5711","6.5750","-0.0150","-0.23"
"2020/11/24","6.5755","6.5925","6.5727","6.5900","0.0050","0.08"
"2020/11/23","6.5533","6.5850","6.5521","6.5850","0.0230","0.35"
"2020/11/20","6.5729","6.5814","6.5578","6.5620","-0.0190","-0.29"
"2020/11/19","6.5618","6.5911","6.5594","6.5810","0.0222","0.34"
"2020/11/18","6.5556","6.5638","6.5373","6.5588","0.0032","0.05"
"2020/11/17","6.5700","6.5709","6.5446","6.5556","-0.0274","-0.42"
"2020/11/16","6.5880","6.5905","6.5681","6.5830","-0.0209","-0.32"
"2020/11/13","6.6151","6.6261","6.6029","6.6039","-0.0075","-0.11"
"2020/11/12","6.6102","6.6333","6.6101","6.6114","-0.0187","-0.28"
"2020/11/11","6.6015","6.6317","6.5907","6.6301","0.0155","0.23"
"2020/11/10","6.6211","6.6269","6.5960","6.6146","-0.0134","-0.20"
"2020/11/09","6.5902","6.6296","6.5613","6.6280","0.0200","0.30"
"2020/11/06","6.6131","6.6367","6.6063","6.6080","0.0053","0.08"
"2020/11/05","6.6420","6.6620","6.6023","6.6027","-0.0454","-0.68"
"2020/11/04","6.7000","6.7491","6.6480","6.6481","-0.0278","-0.42"
"2020/11/03","6.6807","6.6967","6.6758","6.6759","-0.0140","-0.21"
"2020/11/02","6.6931","6.7003","6.6800","6.6899","-0.0020","-0.03"
"2020/10/30","6.7039","6.7039","6.6787","6.6919","-0.0221","-0.33"
"2020/10/29","6.7220","6.7231","6.7008","6.7140","-0.0139","-0.21"
"2020/10/28","6.7141","6.7299","6.7059","6.7279","0.0235","0.35"
"2020/10/27","6.7021","6.7241","6.6954","6.7044","-0.0075","-0.11"
"2020/10/26","6.6806","6.7136","6.6769","6.7119","0.0254","0.38"
"2020/10/23","6.6755","6.6926","6.6641","6.6865","0.0045","0.07"
"2020/10/22","6.6451","6.6885","6.6450","6.6820","0.0317","0.48"
"2020/10/21","6.6666","6.6711","6.6400","6.6503","-0.0251","-0.38"
"2020/10/20","6.6770","6.6936","6.6753","6.6754","-0.0050","-0.07"
"2020/10/19","6.6919","6.7031","6.6803","6.6804","-0.0158","-0.24"
"2020/10/16","6.7179","6.7251","6.6930","6.6962","-0.0268","-0.40"
"2020/10/15","6.7151","6.7346","6.7133","6.7230","0.0094","0.14"
"2020/10/14","6.7432","6.7473","6.7087","6.7136","-0.0316","-0.47"
"2020/10/13","6.7555","6.7603","6.7307","6.7452","0.0001","0.00"
"2020/10/12","6.7252","6.7540","6.7107","6.7451","0.0518","0.77"
"2020/10/09","6.7240","6.7293","6.6929","6.6933","-0.0963","-1.42"
"2020/09/30","6.8111","6.8167","6.7850","6.7896","-0.0253","-0.37"
"2020/09/29","6.8213","6.8270","6.8087","6.8149","0.0042","0.06"
"2020/09/28","6.8144","6.8274","6.8090","6.8107","-0.0113","-0.17"
"2020/09/25","6.8088","6.8324","6.8088","6.8220","-0.0053","-0.08"
"2020/09/24","6.8087","6.8324","6.8087","6.8273","0.0184","0.27"
"2020/09/23","6.7919","6.8120","6.7847","6.8089","0.0310","0.46"
"2020/09/22","6.7939","6.7971","6.7709","6.7779","-0.0264","-0.39"
