"Date","Open","High","Low","Close","Change","Change%"
"2020/12/31","3.6106","3.6250","3.6093","3.6190","0.0000","0.00"
"2020/12/30","3.6108","3.6220","3.6106","3.6190","0.0010","0.03"
"2020/12/29","3.6160","3.6220","3.6093","3.6180","0.0087","0.24"
"2020/12/28","3.6128","3.6170","3.6046","3.6093","0.0065","0.18"
"2020/12/24","3.6070","3.6130","3.5998","3.6028","-0.0042","-0.12"
"2020/12/23","3.6118","3.6170","3.6046","3.6070","-0.0048","-0.13"
"2020/12/22","3.6047","3.6198","3.5975","3.6118","0.0071","0.20"
"2020/12/21","3.5876","3.6078","3.5876","3.6047","0.0102","0.28"
"2020/12/18","3.5797","3.5990","3.5797","3.5945","0.0085","0.24"
"2020/12/17","3.5868","3.5900","3.5795","3.5860","-0.0007","-0.02"
"2020/12/16","3.5847","3.5943","3.5778","3.5867","0.0020","0.06"
"2020/12/15","3.5877","3.5950","3.5774","3.5847","-0.0031","-0.09"
"2020/12/14","3.5844","3.5898","3.5797","3.5878","-0.0022","-0.06"
"2020/12/11","3.5928","3.6038","3.5845","3.5900","-0.0028","-0.08"
"2020/12/10","3.5988","3.6070","3.5897","3.5928","-0.0059","-0.16"
"2020/12/09","3.6001","3.6058","3.5870","3.5987","0.0047","0.13"
"2020/12/08","3.6028","3.6028","3.5870","3.5940","-0.0088","-0.24"
"2020/12/07","3.5796","3.6040","3.5795","3.6028","0.0160","0.45"
"2020/12/04","3.5908","3.5958","3.5791","3.5868","0.0032","0.09"
"2020/12/03","3.6087","3.6090","3.5807","3.5836","-0.0252","-0.70"
"2020/12/02","3.6087","3.6090","3.5947","3.6088","0.0001","0.00"
"2020/12/01","3.6058","3.6090","3.5897","3.6087","0.0029","0.08"
"2020/11/30","3.5979","3.6092","3.5957","3.6058","0.0038","0.11"
"2020/11/27","3.5948","3.6070","3.5947","3.6020","0.0000","0.00"
"2020/11/26","3.6020","3.6060","3.6020","3.6020","-0.0010","-0.03"
"2020/11/25","3.6016","3.6108","3.6016","3.6030","-0.0050","-0.14"
"2020/11/24","3.5963","3.6100","3.5963","3.6080","0.0050","0.14"
"2020/11/23","3.5875","3.6040","3.5875","3.6030","0.0083","0.23"
"2020/11/20","3.5758","3.5950","3.5647","3.5947","0.0190","0.53"
"2020/11/19","3.5697","3.5778","3.5617","3.5757","0.0060","0.17"
"2020/11/18","3.6018","3.6120","3.5597","3.5697","-0.0321","-0.89"
"2020/11/17","3.6628","3.6628","3.5997","3.6018","-0.0609","-1.66"
"2020/11/16","3.6347","3.6678","3.6345","3.6627","0.0220","0.60"
"2020/11/13","3.6397","3.6508","3.6297","3.6407","0.0009","0.02"
"2020/11/12","3.6217","3.6410","3.6097","3.6398","0.0181","0.50"
"2020/11/11","3.6228","3.6300","3.6034","3.6217","-0.0010","-0.03"
"2020/11/10","3.5808","3.6307","3.5697","3.6227","0.0420","1.17"
"2020/11/09","3.5836","3.5881","3.5738","3.5807","-0.0093","-0.26"
"2020/11/06","3.5938","3.6037","3.5866","3.5900","-0.0037","-0.10"
"2020/11/05","3.5998","3.6008","3.5747","3.5937","-0.0061","-0.17"
"2020/11/04","3.5908","3.6033","3.5837","3.5998","0.0090","0.25"
"2020/11/03","3.6148","3.6148","3.5878","3.5908","-0.0239","-0.66"
"2020/11/02","3.6074","3.6150","3.6045","3.6147","0.0012","0.03"
"2020/10/30","3.6107","3.6150","3.5997","3.6135","0.0028","0.08"
"2020/10/29","3.6118","3.6130","3.6036","3.6107","-0.0010","-0.03"
"2020/10/28","3.6068","3.6180","3.5989","3.6117","0.0050","0.14"
"2020/10/27","3.6037","3.6090","3.5897","3.6067","0.0029","0.08"
"2020/10/26","3.5894","3.6048","3.5894","3.6038","0.0070","0.19"
"2020/10/23","3.6017","3.6077","3.5927","3.5968","-0.0049","-0.14"
"2020/10/22","3.5967","3.6046","3.5898","3.6017","0.0049","0.14"
"2020/10/21","3.5898","3.6008","3.5898","3.5968","0.0050","0.14"
"2020/10/20","3.5822","3.5990","3.5797","3.5918","0.0033","0.09"
"2020/10/19","3.5776","3.5927","3.5754","3.5885","0.0060","0.17"
"2020/10/16","3.5808","3.5857","3.5597","3.5825","0.0018","0.05"
"2020/10/15","3.5820","3.5920","3.5752","3.5807","-0.0091","-0.25"
"2020/10/14","3.5905","3.5929","3.5785","3.5898","0.0061","0.17"
"2020/10/13","3.5781","3.6050","3.5781","3.5837","-0.0020","-0.06"
"2020/10/12","3.5968","3.5986","3.5777","3.5857","0.0092","0.26"
"2020/10/09","3.5798","3.5800","3.5497","3.5765","-0.0033","-0.09"
"2020/10/08","3.5688","3.5838","3.5628","3.5798","0.0110","0.31"
"2020/10/07","3.5828","3.5924","3.5598","3.5688","-0.0139","-0.39"
"2020/10/06","3.5878","3.5931","3.5625","3.5827","-0.0050","-0.14"
"2020/10/05","3.6048","3.6241","3.5835","3.5877","-0.0300","-0.83"
"2020/10/02","3.6058","3.6270","3.5985","3.6177","0.0120","0.33"
"2020/10/01","3.6018","3.6090","3.5847","3.6057","0.0040","0.11"
"2020/09/30","3.5978","3.6027","3.5897","3.6017","0.0039","0.11"
"2020/09/29","3.5815","3.5980","3.5815","3.5978","0.0091","0.25"
"2020/09/28","3.5786","3.5950","3.2624","3.5887","0.0101","0.28"
"2020/09/25","3.5826","3.5960","3.5786","3.5786","-0.0114","-0.32"
"2020/09/24","3.5645","3.5900","3.5645","3.5900","0.0251","0.70"
"2020/09/23","3.5710","3.5720","3.5649","3.5649","0.0169","0.48"
"2020/09/22","3.5480","3.5590","3.5480","3.5480","-0.0010","-0.03"
"2020/09/21","3.5480","3.5520","3.5480","3.5490","0.0263","0.75"
"2020/09/18","3.5218","3.5278","3.5147","3.5227","0.0009","0.03"
"2020/09/17","3.5258","3.5393","3.5197","3.5218","-0.0039","-0.11"
"2020/09/16","3.5468","3.5470","3.5248","3.5257","-0.0211","-0.59"
"2020/09/15","3.5598","3.5598","3.5397","3.5468","-0.0129","-0.36"
"2020/09/14","3.5647","3.5688","3.5578","3.5597","-0.0120","-0.34"
"2020/09/11","3.5547","3.5758","3.5440","3.5717","0.0279","0.79"
"2020/09/10","3.5368","3.5478","3.5247","3.5438","0.0070","0.20"
"2020/09/09","3.5408","3.5437","3.5197","3.5368","-0.0040","-0.11"
"2020/09/08","3.5358","3.5519","3.5297","3.5408","0.0051","0.14"
"2020/09/07","3.5297","3.5390","3.5260","3.5357","0.0100","0.28"
